"$s []"	"avg(Moving1.Torque) [NewtonMeter]"
0.005	35.1308983796658
0.01	68.0683120247822
0.015	98.9775459464772
0.02	128.652848548855
0.025	156.460099607673
0.03	181.589273625651
0.035	204.094405818667
0.04	224.21852696772
0.045	242.812976270928
0.05	257.263805913882
0.055	271.383583679192
0.06	283.673289704306
0.065	293.488869298657
0.07	301.921622250555
0.075	308.330636297647
0.08	313.787617618161
0.085	317.480834168476
0.09	320.475136795043
0.095	323.007152097532
0.1	324.792315170647
0.105	324.945350056799
0.11	323.3984776659
0.115	320.200921253093
0.12	315.580597205529
0.125	310.417150550695
0.135	307.638522610294
0.145	319.351168251911
0.155	296.197131547297
0.165	325.719266190322
0.175	336.553891498647
0.185	247.575781793237
0.195	304.367027622526
0.205	302.53559702384
0.215	286.888603881374
0.225	273.685674005374
0.235	270.239571899493
0.245	264.209706409858
0.255	255.498919227583
0.265	248.93507864812
0.275	245.860811280213
0.285	241.990524678426
0.295	234.68051294842
0.3	231.00122787991
0.35	206.790032158923
0.4	187.599349969248
0.45	169.228327084058
0.5	153.823296127504
0.55	143.198160473252
0.6	145.912902621874
0.605	140.179426785655
0.61	137.947898946751
0.615	136.178246677155
0.62	135.087881379579
0.625	133.935471930595
0.63	132.673696412994
0.635	130.220919473613
0.64	129.98592507585
0.645	128.844934212449
0.65	128.006543518963
0.655	127.046143752502
0.66	125.763017569155
0.665	124.623032702034
0.67	123.456712573539
0.675	122.530992872558
0.68	121.266482136338
0.685	120.357279574398
0.69	119.446772692642
0.695	117.87375047624
0.7	117.761080056424
0.705	116.796295093074
0.71	115.495700516604
0.715	116.342849912887
0.72	114.940254215609
0.725	113.364075500025
0.73	110.951163921748
0.735	116.478786066969
0.74	114.014277253653
0.745	112.629985119025
0.75	111.053692980748
0.755	110.68193555101
0.76	109.442624786272
0.765	108.213979247813
0.77	107.554546053007
0.775	107.188944552796
0.78	106.509924894363
0.785	105.922533646502
0.79	104.847517134381
0.795	104.017509918257
0.8	106.116147540247
0.805	103.464237777289
0.81	102.14023715897
0.815	100.410566014125
0.82	103.215715869211
0.825	100.339595443527
0.83	99.3781630200284
0.835	97.7500352760835
0.84	96.4494268171763
0.845	95.6386484330229
0.85	95.2889616930923
0.855	95.2932300924524
0.86	95.3568372469204
0.865	95.2587280336117
0.87	94.1546214209548
0.875	93.8824707624862
0.88	91.9708361188589
0.885	90.8457675983385
0.89	90.1170105314864
0.895	89.0412866656695
0.9	87.6486325967072
0.905	85.5954771784723
0.91	83.4758299660923
0.915	81.3811976901916
0.92	80.5891187014961
0.925	82.4337228874475
0.93	83.6456938624464
0.935	82.8697170922995
0.94	81.8635931510208
0.945	78.86622166667
0.95	72.8165525699661
0.955	56.9141500002073
0.96	94.045092277956
0.965	126.748796094524
0.97	109.433282082351
0.975	102.009183115631
0.98	102.218864626334
0.985	98.0645422635231
0.99	95.2565140767543
0.995	88.7746710756666
1	98.9820525680847
