"$s []"	"rms(Current(Phase_A)) [A]"
0.005	9.70530638711781
0.01	12.8663121410097
0.015	16.648951292039
0.02	20.6608710224129
0.025	24.6489936979146
0.03	28.5851546978306
0.035	32.4188903703205
0.04	36.0235227789136
0.045	39.4503597973151
0.05	42.7754782102999
0.055	45.9732018829056
0.06	48.9434340018776
0.065	51.6977798927665
0.07	54.4153142157185
0.075	57.0030758331852
0.08	59.1556883156233
0.085	60.7575333664762
0.09	60.7697281091886
0.095	65.1204197188929
0.1	67.0327274810164
0.105	68.8769100021679
0.11	70.4177581771532
0.115	71.886127871091
0.12	73.3885251779597
0.125	74.7853440929203
0.135	77.0901055172654
0.145	79.3567854488231
0.155	81.5391589093531
0.165	82.7832429450359
0.175	84.4398551335652
0.185	86.3071876999393
0.195	86.9131603309165
0.205	88.3803666978924
0.215	89.3009550003704
0.225	90.2855436927549
0.235	91.024918519602
0.245	91.8973305944129
0.255	92.6312977589251
0.265	93.3172449379794
0.275	93.7996555472129
0.285	94.5282240906694
0.295	94.9102981499935
0.3	95.1340034840488
0.35	97.1684095595427
0.4	98.6343293498003
0.45	99.7428734148451
0.5	100.54758678459
0.55	101.29616701092
0.6	101.833415198787
0.605	101.908696967043
0.61	101.956843118914
0.615	102.005798924749
0.62	102.059582821017
0.625	102.110471470069
0.63	102.161440872621
0.635	102.163890425615
0.64	102.25534822997
0.645	102.294554073062
0.65	102.335413605786
0.655	102.398877336847
0.66	102.435486462677
0.665	102.476478704077
0.67	102.521602400616
0.675	102.581311519419
0.68	102.609984203592
0.685	102.630969549852
0.69	102.69547264706
0.695	102.742699953822
0.7	102.776013096327
0.705	102.822829190515
0.71	102.867713026977
0.715	102.905482694553
0.72	102.929913292513
0.725	102.919707321848
0.73	103.045318751299
0.735	103.031369218975
0.74	103.062619826968
0.745	103.104003246675
0.75	103.156986493066
0.755	103.195974874005
0.76	103.21667015458
0.765	103.239268343888
0.77	103.277894549369
0.775	103.31002058962
0.78	103.342287072911
0.785	103.37614968033
0.79	103.423968722591
0.795	103.451067244903
0.8	103.467491752037
0.805	103.494350559663
0.81	103.535208566737
0.815	103.578290111905
0.82	103.520739590888
0.825	103.61021849951
0.83	103.682879438197
0.835	103.722728133474
0.84	103.709956489195
0.845	103.708275625596
0.85	103.752300995517
0.855	103.781032049764
0.86	103.789477835568
0.865	103.806606229056
0.87	103.873056235428
0.875	103.915084779498
0.88	103.909079621541
0.885	103.909852214017
0.89	103.962225549208
0.895	104.011425605138
0.9	104.02409695841
0.905	104.05805581133
0.91	104.231600667465
0.915	104.178341220088
0.92	104.110970464183
0.925	104.071710234282
0.93	104.144460600218
0.935	104.20735493503
0.94	104.19538330712
0.945	104.287362075945
0.95	104.518938867376
0.955	104.873369031481
0.96	104.11336871639
0.965	104.163847926246
0.97	104.313738946134
0.975	104.462955460675
0.98	104.469639795388
0.985	104.521063677222
0.99	104.86530394322
0.995	105.429195460538
1	108.217947201613
