"Time [s]"	"Current(Phase_A) [mA]"	"InputVoltage(Phase_A) [V]"	"InducedVoltage(Phase_A) [V]"	"FluxLinkage(Phase_A) [Wb]"	"Current(Phase_B) [mA]"	"InputVoltage(Phase_B) [V]"	"InducedVoltage(Phase_B) [V]"	"FluxLinkage(Phase_B) [Wb]"	"Current(Phase_C) [mA]"	"InputVoltage(Phase_C) [V]"	"InducedVoltage(Phase_C) [V]"	"FluxLinkage(Phase_C) [Wb]"
0	0	0	-53.4208864024163	-0	0	-388.908729652601	-259.639160470912	-0	0	388.908729652601	337.840469564557	-0
0.001	8282.38839905722	138.771225645639	33.3525281957556	0.0333525281957556	-28660.3975166118	-439.259794402996	-208.743185626477	-0.208743185626477	20378.0091175546	300.488568757357	231.094694844565	0.231094694844565
0.002	24548.6797101746	263.9585568491	120.125942793927	0.153478470989683	-65835.9531338676	-446.613049974276	-157.847210782042	-0.366590396408519	41287.273423693	182.654493125177	124.348920124574	0.355443614969139
0.003	44726.481732899	363.307785400763	175.03738983028	0.328515860819963	-99801.0145139504	-410.248708477981	-173.401347274773	-0.539991743683292	55074.5327810513	46.9409230772177	9.05892801927061	0.36450254298841
0.004	68968.1834643195	427.093916603215	213.573269889085	0.542089130709048	-125653.352022109	-333.726365025033	-163.283752233664	-0.703275495916956	56685.168557789	-93.3675515781815	-63.1119352544673	0.301390607733943
0.005	96212.6475499384	449.073119510249	215.453396482178	0.757542527191226	-141148.903336066	-224.536559755125	-137.72724626945	-0.841002742186406	44936.255786128	-224.536559755125	-122.416074942441	0.178974532791501
0.006	126699.704323469	427.093916603215	172.536743831854	0.93007927102308	-145648.881538059	-93.3675515781816	-91.8361325863081	-0.932838874772714	18949.1772145901	-333.726365025033	-152.563081607438	0.026411451184063
0.007	155249.795963279	363.307785400764	136.310887308307	1.06639015833139	-140633.292499914	46.9409230772177	-8.31492994643246	-0.941153804719147	-14616.5034633654	-410.248708477981	-176.431234875054	-0.150019783690991
0.008	175337.113155934	263.9585568491	98.4408595839949	1.16483101791538	-129525.866700129	182.654493125177	89.150892904695	-0.852002911814452	-45811.2464558048	-446.613049974276	-233.728118756888	-0.383747902447879
0.009	184421.365703584	138.771225645639	56.8804196025254	1.22171143751791	-114045.133938359	300.488568757357	190.641530792342	-0.66136138102211	-70376.2317652247	-439.259794402996	-271.533278117992	-0.655281180565871
