"Time [s]"	"InducedVoltage(EndConnection) [mV]"
0	0
0.001	11.0072996636617
0.002	50.9235829509963
0.003	108.289639709658
0.004	172.592674013934
0.005	235.818259445384
0.006	305.250808880857
0.007	357.77824112938
0.008	363.501514704485
0.009	346.856156799179
0.01	309.413668536444
0.011	256.779576647973
0.012	192.087974538622
0.013	115.614430151704
0.014	9.47325975980901
0.015	-53.1026745230552
0.016	-112.682052569176
0.017	-155.767087741208
0.018	-172.756472912629
0.019	-167.573878181989
0.02	-144.793055579089
0.021	-104.646244931294
0.022	-2.49186860769432
0.023	88.2845059506879
0.024	142.482537887207
0.025	201.177500084251
0.026	229.95638551674
0.027	231.491597700157
0.028	194.074632163563
0.029	122.56300443258
0.03	5.52228523912615
0.031	-57.2592063994271
0.032	-126.648152003154
0.033	-179.815570200736
0.034	-217.766672221613
0.035	-229.599196987819
0.036	-228.096395099692
0.037	-206.781591128218
0.038	-167.284446921308
0.039	-142.979083006726
0.04	-85.9761274467309
0.041	-36.0484763773214
0.042	37.348759607722
0.043	105.249938175632
0.044	153.533804072967
0.045	193.872585220379
0.046	218.335639500638
0.047	231.274946589616
0.048	240.48274426721
0.049	182.111557798762
0.05	132.530864543758
0.051	75.8895379448267
0.052	6.63970185045418
0.053	-53.6484119949355
0.054	-113.079284432987
0.055	-148.678529580635
0.056	-178.237577648201
0.057	-207.947186107149
0.058	-198.752546653684
0.059	-211.341268223899
0.06	-207.177977354879
0.061	-165.981893413939
0.062	-121.915198925059
0.063	-121.045002833624
0.064	-75.8301991832771
0.065	-0.441593794914177
0.066	38.6375687352512
0.067	91.1862386754729
0.068	154.467960896042
0.069	186.717035559617
0.07	200.036657036587
0.071	192.595353032104
0.0720000000000001	205.734147457559
0.0730000000000001	193.15730895214
0.0740000000000001	144.59910011912
0.0750000000000001	96.445322822014
0.0760000000000001	59.6303202639592
0.0770000000000001	-1.85090423580978
0.0780000000000001	-79.3507418097444
0.0790000000000001	-94.6083315540858
0.0800000000000001	-137.946157341759
0.0810000000000001	-173.26339224442
0.0820000000000001	-222.30123940263
0.0830000000000001	-231.55358477659
0.0840000000000001	-307.740989966147
0.0850000000000001	-266.212688727577
0.0860000000000001	-314.526759374938
0.0870000000000001	-244.897688334428
0.0880000000000001	-251.071141085641
0.0890000000000001	-202.945187972171
0.0900000000000001	-167.117866470111
0.0910000000000001	-118.361024691352
0.0920000000000001	-65.0157328480142
0.0930000000000001	-79.6060373263421
0.0940000000000001	-19.9911741637413
0.0950000000000001	35.5385354613574
0.0960000000000001	77.2115050397559
0.0970000000000001	127.203012133666
0.0980000000000001	102.572996919552
0.0990000000000001	134.098856816191
0.1	144.662524128994
0.101	150.946008621847
0.102	168.882408129888
0.103	162.671289192357
0.104	148.156842322909
0.105	135.977883097022
0.106	100.784725832514
0.107	93.4336060199356
0.108	115.878039678548
0.109	57.9840582138867
0.11	18.1735872778889
0.111	47.0316881421321
0.112	11.6277493322711
0.113	19.3973201385864
0.114	-8.69326909597808
0.115	-5.49346948822398
0.116	-15.4132640031218
0.117	4.40556092583537
0.118	-30.3451018622927
0.119	-16.660399253897
0.12	-18.9014532730764
0.121	-10.1365208225121
0.122	-1.89256074325551
0.123	-32.0986700237161
0.124	-14.0277129477
0.125	-3.29884974793054
0.126	-3.02763642121375
0.127	-7.1382288000842
0.128	9.19645092593781
0.129	22.2305532391327
0.13	20.1145225380559
0.131	33.7506646449224
0.132	48.1308638698079
0.133	45.8422336439587
0.134	63.0795731359798
0.135	66.5253284857891
0.136	61.5261805398408
0.137	74.0801775276879
0.138	76.0251594427413
0.139	70.4210111102462
0.14	70.7414341202736
0.141	79.663775789014
0.142	79.2058691186188
0.143	59.7861165554095
0.144	73.2612306554811
0.145	85.1209992662255
0.146	69.503726410014
0.147	55.1450174643146
0.148	74.9034157483432
0.149	76.3389652614068
0.15	68.1026116193866
0.151	57.619042376513
0.152	52.9466975703837
0.153	45.8843011578122
0.154	50.8783983030601
0.155	59.4492361385471
0.156	49.44958889724
0.157	43.3975178294244
0.158	29.2200404977809
0.159	29.7976119316094
0.16	14.2415651021664
0.161	7.4411928225643
0.162	3.41316086856398
0.163	2.19700831977912
0.164	2.40467015159276
0.165	-2.91854922239692
0.166	4.48046831416594
0.167	-10.9641491259846
0.168	-16.4501747531355
0.169	-21.3479373357165
0.17	-14.2353679335977
0.171	-11.1534066620004
0.172	-6.61078378442819
0.173	-10.2462475102456
0.174	-18.7345385801591
0.175	-7.6484412713726
0.176	2.28456935364623
0.177	-0.0425235392176315
0.178	-4.65820439825033
0.179	2.22071508787719
0.18	13.0684380812312
0.181	12.9493124788739
0.182	1.59683922311199
0.183	12.9167233074733
0.184	27.9671633898692
0.185	15.2706170049102
0.186	12.9076513616377
0.187	24.6013173101
0.188	28.8100997422203
0.189	25.2614410832532
0.19	16.1770070357791
0.191	23.3951027056446
0.192	37.937581968983
0.193	28.8237594982862
0.194	20.6356613839539
0.195	18.6332072815245
0.196	26.5613889626278
0.197	27.1774682467818
0.198	21.3778456993746
0.199	18.3518845383712
0.2	8.52000109184941
0.201	6.81062015305683
0.202	10.7764877174355
0.203	10.4361538532543
0.204	13.7598262992854
0.205	-1.37066913682982
0.206	-3.75974985688697
0.207	-10.3304697962824
0.208	-8.38897973762893
0.209	-6.50623120452198
0.21	-5.07818566445164
0.211	-6.59991185366715
0.212	-19.0323965413028
