"Time [s]"	"RingSolidLoss(EndConnection) [kW]"
0	0
0.001	0.238225465407263
0.002	1.24166303709282
0.003	2.82214184218996
0.004	4.65567747279294
0.005	6.57295457418572
0.006	8.1912526314695
0.007	9.35174428723309
0.008	9.89812998946416
0.009	9.94155262060458
0.01	9.43063611161597
0.011	8.55637539441425
0.012	7.54792452143243
0.013	6.55633478240786
0.014	5.52198249347911
0.015	4.62643877069745
0.016	3.7331343395404
0.017	3.06878036583332
0.018	2.55523315942661
0.019	2.22780726684445
0.02	2.13265701255769
0.021	2.19059079696274
0.022	2.34075542865694
0.023	2.56245994448678
0.024	2.82015583240706
0.025	3.231799775225
0.026	3.97757605076194
0.027	4.82112665902774
0.028	5.38612209930239
0.029	5.81014682516702
0.03	6.78775119530855
0.031	7.20348143936546
0.032	7.14960565099467
0.033	6.73715988905813
0.034	6.02904215200133
0.035	5.11251200362275
0.036	4.32794828947372
0.037	3.83950282567768
0.038	3.49147746575035
0.039	3.23689353179207
0.04	3.13392895447294
0.041	3.34798006829294
0.042	3.59228229988194
0.043	3.8218815262296
0.044	4.12231929391847
0.045	4.26519722257168
0.046	4.28026856095618
0.047	4.25777561557098
0.048	4.25023227952353
0.049	4.12946410880847
0.05	4.15986278958693
0.051	4.15583080990462
0.052	4.05648694046304
0.053	3.80957948950627
0.054	3.56161046722913
0.055	3.30477146882
0.056	3.29510621458593
0.057	3.33786194155464
0.058	3.3219602364666
0.059	3.78069632548273
0.06	4.18074863392459
0.061	4.55798615596967
0.062	5.3500955356646
0.063	5.5751761621943
0.064	6.32603778955946
0.065	6.32491721879022
0.066	6.34218337116224
0.067	6.45665964382452
0.068	5.88833145600934
0.069	5.46997233798862
0.07	4.64813537707224
0.071	4.09217391726646
0.0720000000000001	3.58676790656873
0.0730000000000001	3.17952809457331
0.0740000000000001	2.58772051678578
0.0750000000000001	2.25764004338405
0.0760000000000001	2.28819418881085
0.0770000000000001	2.20994116065011
0.0780000000000001	2.36787013875199
0.0790000000000001	2.69976032581605
0.0800000000000001	3.12124366719024
0.0810000000000001	3.58102661469302
0.0820000000000001	4.30241077294358
0.0830000000000001	4.75184612352399
0.0840000000000001	5.63039727069355
0.0850000000000001	5.82655814797848
0.0860000000000001	6.60935052957685
0.0870000000000001	6.50446037444478
0.0880000000000001	6.94698985444436
0.0890000000000001	6.51194052290812
0.0900000000000001	6.47728306663051
0.0910000000000001	5.8729041587957
0.0920000000000001	5.38448448639572
0.0930000000000001	4.74346562545842
0.0940000000000001	4.0325699074182
0.0950000000000001	3.58126364859874
0.0960000000000001	2.85191459883639
0.0970000000000001	2.60482251347705
0.0980000000000001	2.08628908704744
0.0990000000000001	2.1048380930877
0.1	1.8923992783429
0.101	2.02430329782455
0.102	2.25894056453016
0.103	2.46413063361945
0.104	2.87719199629353
0.105	3.17702868918099
0.106	3.60060156672576
0.107	3.96590205706055
0.108	4.19491475128475
0.109	4.29093612028627
0.11	4.59392027329506
0.111	4.61917871982938
0.112	4.47760500573675
0.113	4.28443138871916
0.114	4.08399595842
0.115	3.77984832265655
0.116	3.41182991565403
0.117	3.01084593635713
0.118	2.66696376746044
0.119	2.36861577441382
0.12	2.25462555605367
0.121	2.11064060898822
0.122	1.78190625306631
0.123	1.56925955919474
0.124	1.61597214088434
0.125	1.61825616027148
0.126	1.34414062426603
0.127	1.25645387650859
0.128	1.4267113978915
0.129	1.27462278217276
0.13	1.01609904212469
0.131	1.20941439774192
0.132	1.1318879104246
0.133	0.804801067562129
0.134	0.989448923257405
0.135	0.957806870821968
0.136	0.635968958997856
0.137	0.792972373837208
0.138	0.811001167646195
0.139	0.556127604500218
0.14	0.601921056297742
0.141	0.703598447657681
0.142	0.572049360182877
0.143	0.41996106958524
0.144	0.566806526786655
0.145	0.604526081393141
0.146	0.492878225158426
0.147	0.35113328339216
0.148	0.449047007929651
0.149	0.532737597897887
0.15	0.510250756793568
0.151	0.411342717202827
0.152	0.284997508562826
0.153	0.245779516902494
0.154	0.298934547957084
0.155	0.331313284643676
0.156	0.315998350188653
0.157	0.26466903559129
0.158	0.204454669857425
0.159	0.141863116275532
0.16	0.0919525440807062
0.161	0.0804444232346841
