"Time [s]"	"SolidLoss [kW]"	"StrandedLossR [kW]"
0	0	0
0.001	1.13304249972148	0.843876744553727
0.002	5.10542599501464	4.35477183871205
0.003	10.5886215075558	9.94191684336187
0.004	16.5417664645974	16.3990019664065
0.005	22.7315761352441	22.8082342761394
0.006	27.9492320288904	28.5039651224703
0.007	31.7643188332148	33.1438074124207
0.008	33.3347011413988	36.0261875099089
0.009	33.3706766748112	36.6576856459125
0.01	31.692042600058	35.3969362386892
0.011	28.9800744558514	32.7760064525697
0.012	26.0952891550834	29.1065161717385
0.013	23.3593257205487	24.7220698743349
0.014	20.5700052825744	20.4308463234218
0.015	17.9322590625824	16.6005646982908
0.016	15.0415009464887	13.256686322044
0.017	12.8312811367105	10.689176801121
0.018	11.0531335681035	8.94866107020699
0.019	9.72281724008022	7.84443432062749
0.02	9.30270661293265	7.56618309863142
0.021	9.36652264341966	7.88493381836159
0.022	9.83462738357185	8.55807259177112
0.023	10.533518201902	9.40530574931185
0.024	11.3772160801925	9.93949218063212
0.025	12.8428932301096	11.8719775169507
0.026	15.8063904844914	15.543925099746
0.027	18.6900661407762	18.9872263897474
0.028	20.3319279106457	21.4935310916294
0.029	21.7853253173119	22.9601280095124
0.03	25.5591915481542	24.3590748287921
0.031	26.4945229192777	25.4686067266057
0.032	25.8808730135202	25.1970743229663
0.033	24.1177894553741	23.1628494902931
0.034	21.5392291015088	20.4814300810905
0.035	18.2715048958764	18.0727764096136
0.036	15.7742422912703	15.9536943674688
0.037	14.4981129977264	13.5838229627497
0.038	13.6677815715343	11.4608429102829
0.039	12.8176994769578	11.1849330253522
0.04	12.0850326549975	11.423044217122
0.041	12.7801024473745	11.5231303165565
0.042	13.7511966980312	12.1869551995944
0.043	14.3511343111815	14.1334879264813
0.044	15.0912299340685	15.6714122527215
0.045	15.4593828706511	16.4423497139192
0.046	15.5453505998755	16.5804596027044
0.047	15.468662850389	16.0339257964263
0.048	15.4634674355405	15.7128034728857
0.049	14.9748944156235	16.4573342489922
0.05	15.1999938956583	16.6881167237901
0.051	15.2710036939797	16.4125654259563
0.052	14.9846450695353	15.7932861658874
0.053	14.112208837921	14.4637352296515
0.054	13.5871787683377	12.3436298313436
0.055	12.4385072038316	11.8560513732757
0.056	12.15417653715	12.0834290681875
0.057	12.7261363551102	11.0285776773155
0.058	12.3220075555663	11.9420985453258
0.059	13.7586771980835	12.8303585254249
0.06	15.4341089488771	14.4140001898069
0.061	15.990301845877	16.3398446989621
0.062	19.1920380244039	17.9455727810199
0.063	19.2955113313147	20.7265561385314
0.064	21.8485010423629	21.2952060649837
0.065	21.6284962938628	23.4259699454074
0.066	21.4179031402841	23.896373043133
0.067	21.9649439719593	22.0586485446431
0.068	20.3899137723299	22.2373383267261
0.069	18.880952667773	21.188285498574
0.07	16.3287274241632	17.8037296664987
0.071	14.9262192762861	14.6718588243134
0.0720000000000001	13.3101162880978	13.9564630005636
0.0730000000000001	11.9404463851228	12.4439640657698
0.0740000000000001	10.0643105293023	9.82364845925078
0.0750000000000001	9.35236747043112	8.07606221503002
0.0760000000000001	8.9837514152558	8.74278040761634
0.0770000000000001	8.62039284690584	7.98335011014081
0.0780000000000001	9.42777493136485	8.23692821330356
0.0790000000000001	10.0382900653091	9.86969607548404
0.0800000000000001	11.7271358537699	10.378507036392
0.0810000000000001	12.8174733094983	13.1148945574987
0.0820000000000001	15.4847058699633	14.2425161400446
0.0830000000000001	16.5102252255382	17.42156625845
0.0840000000000001	19.6006031614615	18.6290505007033
0.0850000000000001	19.7302685258342	21.7092796137718
0.0860000000000001	22.3743482063556	22.1044725542768
0.0870000000000001	21.7820643239164	24.4071519287058
0.0880000000000001	23.4130653789645	23.3226860112627
0.0890000000000001	21.7638889183849	24.7497953462642
0.0900000000000001	21.6474687936837	22.0225113871371
0.0910000000000001	19.7541007505604	22.3447429468674
0.0920000000000001	18.2224684532252	18.4873245730542
0.0930000000000001	16.2127056547144	18.2351519882704
0.0940000000000001	14.0340733640727	14.0884476335528
0.0950000000000001	12.6271743580833	13.7546727700183
0.0960000000000001	10.3475009312825	10.0040187994016
