"Time [s]"	"FluxLinkage(Phase_A) [Wb]"	"FluxLinkage(Phase_C) [Wb]"	"FluxLinkage(Phase_B) [Wb]"
0	-0	-0	-0
0.001	0.0374887248907518	0.272181163553476	-0.291414779486899
0.002	0.148683700227947	0.412154167704035	-0.526746484669232
0.003	0.318854131932765	0.467873490732874	-0.754685846912897
0.004	0.531269655069267	0.442735759342637	-0.962953947130346
0.005	0.774428886638521	0.33270240041927	-1.12001212497741
0.006	1.03108046774305	0.160057354893724	-1.19043021184547
0.007	1.24636851849761	-0.0546679307979461	-1.1852318808147
0.008	1.40471335112803	-0.29107743682933	-1.12352026158036
0.009	1.51465054625629	-0.522418472075682	-1.01363621384385
0.01	1.57222012039565	-0.734920882859808	-0.857844729110374
0.011	1.56819652479739	-0.920099061291934	-0.641641755597295
0.012	1.49951627161403	-1.05456491482014	-0.385833484930782
0.013	1.36191192025864	-1.13360964150489	-0.126575940462757
0.014	1.15664396401932	-1.15894601972249	0.077360503985278
0.015	0.87002679680894	-1.12696739193739	0.221634154716145
0.016	0.578697187700021	-1.00888704393888	0.310950761931439
0.017	0.343791160318356	-0.784799971686792	0.357136149120173
0.018	0.1876151048656	-0.481289893812496	0.349931005311341
0.019	0.0893086951816313	-0.151354348305032	0.25822407609862
0.02	0.010706647599759	0.0857115592156599	0.0307077308945924
0.021	-0.0291405597515293	0.238903508293063	-0.298614867702832
0.022	0.0502893974402176	0.388657474068632	-0.576806710417843
0.023	0.25301891635525	0.54738212923329	-0.79562758911466
0.024	0.517564080725122	0.594929052177969	-1.06466335864094
0.025	0.822908559764901	0.452928695854285	-1.25378418737414
0.026	1.03133353194628	0.326702352249285	-1.27471714036888
0.027	1.16261884172707	0.146227314111164	-1.31228994454963
0.028	1.2903538859709	-0.0682562530134149	-1.307684355941
0.029	1.42299743648272	-0.265319814203676	-1.23254859488576
0.03	1.48578057990866	-0.481573162580807	-1.0137868381685
0.031	1.41081531001092	-0.684199857433048	-0.754659159061701
0.032	1.28822790936943	-0.80859633797178	-0.493611204173308
0.033	1.13839774516746	-0.885051224559724	-0.257983545972675
0.034	0.955492804918748	-0.913665200839129	-0.0606069976744268
0.035	0.67115157263031	-0.881569294742216	0.0832033649000374
0.036	0.374253991012543	-0.7407557166065	0.172291321945888
0.037	0.11498278422135	-0.50490144592142	0.216234649413477
0.038	-0.0248456845767476	-0.264035605033112	0.237099817240905
0.039	-0.079513546189606	-0.00962405006930415	0.185702642130858
0.04	-0.0989439638827517	0.277801416610244	-0.0198084036802
0.041	-0.0868424814681975	0.470633850993855	-0.316970546042547
0.042	-0.0400845553854792	0.569920456706517	-0.544108964027642
0.043	0.100674898914083	0.596233366333677	-0.773890276078987
0.044	0.377970627880943	0.585375521573346	-0.974554040243881
0.045	0.682853390747957	0.503872364118462	-1.11903242302213
0.046	0.958153563440333	0.343403868955885	-1.2114494927169
0.047	1.19535600337126	0.108406045146825	-1.25397431545489
0.048	1.34513582843467	-0.103781158660732	-1.24101453839642
0.049	1.42873025229584	-0.351522635066151	-1.12315598349164
0.05	1.46983004226042	-0.59024884255189	-0.916012261641037
0.051	1.45236847687665	-0.778976708584362	-0.642251080052498
0.052	1.35320326777851	-0.911475895974803	-0.350025496633319
0.053	1.17002993268242	-0.999657776922888	-0.0623124976836979
0.054	0.96791231670542	-1.07196403288985	0.153206665947098
0.055	0.700454471721698	-1.07654602236103	0.27364632776879
0.056	0.385389063269548	-0.88493325779447	0.373796428493159
0.057	0.183238202706643	-0.675409419574522	0.502241409245298
0.058	0.0718124712679544	-0.399375334604299	0.537259824006173
0.059	-0.108316984835593	-0.150377544412313	0.350100640991024
0.06	-0.229726318732752	-0.0209465190084555	0.213721529676729
0.061	-0.164583575672711	0.201870624062742	-0.0652396522281364
0.062	-0.115962869460603	0.351638488147752	-0.217562398441767
0.063	0.0198510381843342	0.345394042066433	-0.490490300253903
0.064	0.283851914303466	0.375032031310511	-0.691321876031474
0.065	0.500299410319514	0.360595627831679	-0.739118459909516
0.066	0.805734329166364	0.150988360638539	-0.818653812272921
0.067	0.983755642739956	-0.0776823752630954	-0.906898428286067
0.068	1.08481170964939	-0.272753949257843	-0.856823593436558
0.069	1.18952583475657	-0.598118455041461	-0.690426862399732
0.07	1.26552820247168	-0.896417258689152	-0.4721753685159
0.071	1.29792806630256	-1.04664720287038	-0.269258535751943
0.0720000000000001	1.17541526773627	-1.15053527979192	-0.00359634838626432
0.0730000000000001	0.967008541514415	-1.21903034559881	0.312214140209627
0.0740000000000001	0.704943871309236	-1.25737232802607	0.58706510726027
