"Time [s]"	"InputVoltage(Phase_A) [V]"	"InputVoltage(Phase_C) [V]"	"InputVoltage(Phase_B) [V]"
0	0	487.903679018718	-487.903679018718
0.001	174.094810355438	376.976568077412	-551.07137843285
0.002	331.148007683416	229.148364102494	-560.296371785911
0.003	455.786130775503	58.8895216786914	-514.675652454194
0.004	535.808731738579	-117.133837434446	-418.674894304133
0.005	563.382640840131	-281.691320420065	-281.691320420065
0.006	535.808731738579	-418.674894304132	-117.133837434446
0.007	455.786130775503	-514.675652454194	58.8895216786913
0.008	331.148007683416	-560.29637178591	229.148364102494
0.009	174.094810355438	-551.07137843285	376.976568077412
0.01	-4.12114786740858E-13	-487.903679018717	487.903679018718
0.011	-174.094810355438	-376.976568077411	551.07137843285
0.012	-331.148007683417	-229.148364102494	560.296371785911
0.013	-455.786130775504	-58.8895216786906	514.675652454194
0.014	-535.808731738579	117.133837434447	418.674894304132
0.015	-563.382640840131	281.691320420066	281.691320420064
0.016	-535.808731738578	418.674894304133	117.133837434445
0.017	-455.786130775502	514.675652454195	-58.8895216786927
0.018	-331.148007683415	560.296371785911	-229.148364102495
0.019	-174.094810355436	551.071378432849	-376.976568077413
0.02	1.37845290737459E-12	487.903679018717	-487.903679018718
0.021	174.094810355439	376.976568077411	-551.07137843285
0.022	331.148007683418	229.148364102493	-560.296371785911
0.023	455.786130775504	58.8895216786898	-514.675652454194
0.024	535.808731738579	-117.133837434447	-418.674894304131
0.025	563.382640840131	-281.691320420068	-281.691320420064
0.026	535.808731738578	-418.674894304134	-117.133837434443
0.027	455.786130775502	-514.675652454196	58.8895216786944
0.028	331.148007683414	-560.29637178591	229.148364102497
0.029	174.094810355435	-551.071378432849	376.976568077414
0.03	-2.75690581474919E-12	-487.903679018717	487.903679018719
0.031	-174.09481035544	-376.97656807741	551.07137843285
0.032	-331.148007683419	-229.148364102492	560.29637178591
0.033	-455.786130775505	-58.8895216786878	514.675652454193
0.034	-535.80873173858	117.133837434449	418.674894304129
0.035	-563.382640840131	281.691320420068	281.691320420062
0.036	-535.808731738577	418.674894304135	117.133837434442
0.037	-455.786130775501	514.675652454196	-58.8895216786953
0.038	-331.148007683413	560.29637178591	-229.148364102498
