"Time [s]"	"Pro [W]"
0	0
0.001	0.000754845345439455
0.002	0.0255692749127859
0.003	0.196279515047145
0.004	0.675560718186784
0.005	1.31534602458075
0.006	1.47292070683372
0.007	0.799620475167737
0.008	0.0936710895651559
0.009	0.0479885428422487
0.01	0.135471534664344
0.011	0.0164053426106903
0.012	0.0656561199137223
0.013	0.340657243655032
0.014	0.613301098889035
0.015	0.766193807992073
0.016	0.834292323994433
0.017	0.872338172047781
0.018	0.958097833010405
0.019	1.16368344745806
0.02	1.50522650630965
0.021	2.08730804718736
0.022	3.1174359881434
0.023	4.97687325598024
0.024	7.39978277661687
0.025	7.51353256829917
0.026	5.26744622126906
0.027	3.70435853216509
0.028	3.50170441985381
0.029	4.41493626446356
0.03	4.50532264700535
0.031	2.42982157799909
0.032	0.450589002552241
0.033	0.0273370760110541
0.034	0.431937578221733
0.035	0.603420326508124
0.036	0.700368837359866
0.037	1.25550814294187
0.038	1.97845894324011
0.039	1.85161756678872
0.04	1.56702256087898
0.041	1.87626089860427
0.042	1.65733383911689
0.043	0.640877524216611
0.044	0.126544862766722
0.045	0.0470047628864132
0.046	0.184639852883577
0.047	0.869480918064173
0.048	1.24193647493533
0.049	0.47342980098572
0.05	0.0585335338409029
0.051	0.0162805082400827
0.052	0.129015779149198
0.053	0.922161740198647
0.054	2.67981739726386
0.055	3.65471400782315
0.056	4.46360904373966
0.057	6.11396052908439
0.058	6.89685380654772
0.059	7.98642530653748
0.06	8.49751639889459
0.061	8.72655667625474
0.062	8.62792162120307
0.063	7.54596994728269
0.064	7.76374329663174
0.065	6.3092983337653
0.066	5.06048028443486
0.067	5.25063678159364
0.068	3.50273385268419
0.069	2.08148429850752
0.07	2.88898834468969
0.071	3.3085702054101
0.0720000000000001	2.02583326703828
0.0730000000000001	1.69521285755688
0.0740000000000001	2.96653947824852
0.0750000000000001	4.05466417249445
0.0760000000000001	4.13954017407212
0.0770000000000001	5.62741461756706
0.0780000000000001	7.06585263908197
0.0790000000000001	8.2936809898722
0.0800000000000001	9.79100633173342
0.0810000000000001	10.8535678182395
0.0820000000000001	12.0646235590425
0.0830000000000001	12.9830536094326
0.0840000000000001	13.7091109079018
0.0850000000000001	14.1814519091197
0.0860000000000001	14.2500393094978
0.0870000000000001	14.3561916581631
0.0880000000000001	14.2623838415269
0.0890000000000001	13.8597481592984
0.0900000000000001	13.5548599993058
0.0910000000000001	12.9601548556467
0.0920000000000001	13.2285150958874
0.0930000000000001	13.1152104605293
0.0940000000000001	13.6774470661169
0.0950000000000001	14.442077062547
0.0960000000000001	15.0943996260603
0.0970000000000001	16.458837075182
0.0980000000000001	16.8284407787557
0.0990000000000001	18.2382466730316
0.1	18.6896856087995
0.101	20.1795561786441
0.102	22.9168532741682
0.103	23.5271698391789
0.104	26.6812123169803
0.105	29.6316401394823
0.106	29.6825526691849
0.107	33.3372225974606
0.108	39.250229653437
0.109	40.4541434644271
0.11	39.133353752173
0.111	42.2394356631051
0.112	50.6229905217284
0.113	59.6177587428716
0.114	67.3174771253195
0.115	74.5897818048172
0.116	83.1252596045644
0.117	94.0440768185209
0.118	102.775619997431
0.119	102.916820429835
0.12	99.6083398173435
0.121	101.212727054224
0.122	109.028146403997
0.123	114.424818064381
0.124	112.658960668145
0.125	113.068688382558
0.126	119.988043743168
0.127	122.318089000369
0.128	119.698852186051
0.129	123.695839540949
0.13	127.21564209685
0.131	124.923916280785
0.132	126.038268013953
0.133	129.304565660075
0.134	127.094859923356
0.135	125.701078669789
0.136	128.169865717467
0.137	125.958859988761
0.138	122.558523633234
0.139	124.13364090485
0.14	122.295744884883
0.141	117.146454827386
0.142	116.485096875621
0.143	116.07041917338
0.144	111.455131262923
0.145	107.164039295882
0.146	106.66871356759
0.147	106.756567479151
0.148	103.276454174558
0.149	98.1345435879719
0.15	95.1490824505305
0.151	94.7972150954372
0.152	95.7461060602883
0.153	95.2693064713796
0.154	92.1658681774197
0.155	88.2457890393072
0.156	85.4028341681132
0.157	84.1754816650616
0.158	84.3015991759751
0.159	85.3402611143631
0.16	86.461313822652
0.161	86.9426453639651
0.162	86.7068722890747
0.163	86.3435902268783
0.164	86.5872423511746
0.165	87.8761201633299
0.166	90.3230513620256
0.167	93.3278397208846
0.168	95.6297398840144
0.169	96.6353834748211
0.17	97.4420003396219
0.171	99.3627061406136
0.172	102.513191715521
0.173	105.51220214113
0.174	106.859691935314
0.175	107.597093326245
0.176	109.365302648939
0.177	111.644077841654
0.178	112.871556825809
0.179	113.116278139561
0.18	113.653500423923
0.181	114.546868130068
0.182	114.888137349118
0.183	114.405343379087
0.184	113.865576588606
0.185	113.74096832672
0.186	113.383868748626
0.187	112.080692095469
0.188	110.488425245303
0.189	109.57465397951
0.19	108.858026979199
0.191	107.252659269546
0.192	105.024046591834
0.193	103.320000798561
0.194	102.426998841802
0.195	101.456417580826
0.196	99.6585824837437
0.197	97.5352345090313
0.198	95.9317086580336
0.199	95.1023376579732
0.2	94.6391616543954
0.201	94.0122277182216
0.202	93.1804279609404
0.203	92.4856483757368
0.204	92.2186947061975
0.205	92.3784614927904
0.206	92.70175431073
0.207	92.9559379278051
0.208	93.2351635819575
0.209	93.8370864043178
0.21	94.898568242262
0.211	96.1796188753842
0.212	97.2766010451198
0.213	98.0857048775707
0.214	98.9686401414916
0.215	100.298232706745
0.216	101.959774127956
0.217	103.397292791085
0.218	104.312033532765
0.219	105.122855882119
0.22	106.235750455799
0.221	107.423773137947
0.222	108.249214076768
0.223	108.685258395768
0.224	109.027545875211
0.225	109.432349625045
0.226	109.764080895183
0.227	109.792370470094
0.228	109.505770986515
0.229	109.073327665567
0.23	108.724017914886
0.231	108.394991056031
0.232	107.730947423355
0.233	106.675759544486
0.234	105.650531835058
0.235	104.949663953634
0.236	104.237620974878
0.237	103.115568480442
0.238	101.781135976144
0.239	100.742086766217
0.24	100.095993498479
0.241	99.500811527855
0.242	98.6875452695732
0.243	97.7516278563725
0.244	97.0157931756653
0.245	96.6412217970251
0.246	96.4530734408476
0.247	96.2361580534302
0.248	96.0411931448377
0.249	96.0132604093764
0.25	96.2011371284566
0.251	96.5158780633863
0.252	96.8142405233471
0.253	97.1484892081423
0.254	97.6741646507957
0.255	98.4542079138619
0.256	99.31895203633
0.257	99.9980237132506
0.258	100.558149244114
0.259	101.278990864728
0.26	102.233732491195
0.261	103.168425994536
0.262	103.83593110318
0.263	104.32659928776
0.264	104.861640313487
0.265	105.495115860553
0.266	106.090392789801
0.267	106.459250611688
0.268	106.610975319973
0.269	106.722767505127
0.27	106.832918236982
0.271	106.87535595773
0.272	106.783201725535
0.273	106.485170976748
0.274	106.045791494711
0.275	105.682801611358
0.276	105.388675015362
0.277	104.913783813439
0.278	104.190739027035
0.279	103.465729091491
0.28	102.941708154537
0.281	102.510043083007
0.282	101.962398319347
0.283	101.234774603107
0.284	100.513532921216
0.285	100.038328308232
0.286	99.7333073960359
0.287	99.3567973384105
0.288	98.9001682726434
0.289	98.5316543076176
0.29	98.3767572974831
0.291	98.3485270410819
0.292	98.3341400729246
0.293	98.3465308213052
0.294	98.4444201155738
0.295	98.6850073087018
0.296	98.9890755585794
0.297	99.2454695531966
0.298	99.4898822913435
0.299	99.8713609264471
0.3	100.408212615409
0.301	100.946265343742
0.302	101.362768792214
0.303	101.726408493316
0.304	102.173035275796
0.305	102.72422164243
0.306	103.279596775785
0.307	103.66899650362
0.308	103.913461730815
