"Time [s]"	"CoreLoss [W]"
0	0
0.001	114.953441958447
0.002	53.4210968350367
0.003	50.2208402997137
0.004	56.7504482860643
0.005	74.0314412506587
0.006	86.3855019105238
0.007	78.9209872223482
0.008	64.612045707729
0.009	55.4488754430884
0.01	55.2089065213356
0.011	69.6770758601663
0.012	81.3390340048046
0.013	100.315911681546
0.014	94.6118715241494
0.015	126.203260061616
0.016	123.505827546279
0.017	148.022326302987
0.018	136.097201969211
0.019	170.406762767068
0.02	190.906088866755
0.021	201.487040032511
0.022	171.50922735092
0.023	166.452628404379
0.024	201.39844880927
0.025	233.765593750758
0.026	146.79724526991
0.027	120.016387109391
0.028	125.434006151802
0.029	112.001099158106
0.03	166.152890874631
0.031	158.018673214265
0.032	124.853690324625
0.033	91.2695131952926
0.034	83.7491493689349
0.035	143.243286101359
0.036	138.326685381958
0.037	170.923131360166
0.038	133.26426080847
0.039	124.448487168389
0.04	184.151162415143
0.041	192.726736719643
0.042	119.606825980068
0.043	101.995949007069
0.044	135.593806266977
0.045	145.002960104703
0.046	131.18000863346
0.047	131.512357736018
0.048	94.0901624815103
0.049	98.9937470189268
0.05	111.869880036669
0.051	125.879041496611
0.052	133.535659514427
0.053	136.102591432159
0.054	123.563062703891
0.055	139.644138269631
0.056	181.062513792297
0.057	183.98972036926
0.058	187.325291905253
0.059	194.712097540986
0.06	165.324197094794
0.061	218.601855201236
0.062	195.84291368419
0.063	187.627736648353
0.064	222.228379304596
0.065	156.099380680107
0.066	161.639498154833
0.067	173.200338617629
0.068	133.657851630694
0.069	132.048473171665
0.07	143.809993236936
0.071	145.087304151053
0.0720000000000001	110.455338088526
0.0730000000000001	128.55310070088
0.0740000000000001	147.813523051025
0.0750000000000001	152.520781897296
0.0760000000000001	137.444488231386
0.0770000000000001	178.841854813832
0.0780000000000001	185.275439353302
0.0790000000000001	192.089943914753
0.0800000000000001	216.663298216682
0.0810000000000001	217.460993153783
0.0820000000000001	210.529592922134
0.0830000000000001	184.802775988289
0.0840000000000001	221.475814972889
0.0850000000000001	185.295038443605
0.0860000000000001	213.039336133852
0.0870000000000001	180.444974065627
0.0880000000000001	226.190568003484
0.0890000000000001	173.826974903366
0.0900000000000001	211.215076635793
0.0910000000000001	176.190155056133
0.0920000000000001	192.424851969105
0.0930000000000001	183.435114719998
0.0940000000000001	165.136797562419
0.0950000000000001	195.417342028852
0.0960000000000001	164.998253269083
0.0970000000000001	202.728828756983
0.0980000000000001	167.509589005067
0.0990000000000001	214.576273092618
0.1	181.529029547484
0.101	220.798568645549
0.102	208.611813229348
0.103	207.196922870256
0.104	236.956236531892
0.105	193.492512525591
0.106	216.68584748847
0.107	221.306530800589
0.108	203.673472770602
0.109	216.773941703763
0.11	220.707982731703
0.111	180.387535755876
0.112	164.073655851106
0.113	164.850339116318
0.114	213.717981466982
0.115	188.625176906587
0.116	150.481542070425
0.117	132.417392086023
0.118	142.418614706462
0.119	136.138356838567
0.12	127.442143845959
0.121	130.323112390292
0.122	122.635383819541
0.123	118.314324457147
0.124	148.428503102259
0.125	161.458368361171
0.126	157.860750829639
0.127	167.028082818428
0.128	162.023962137471
0.129	153.703172755929
0.13	176.430242427089
0.131	183.015884153023
0.132	183.002121672252
0.133	154.537551109712
0.134	184.55163315218
0.135	184.831606110612
0.136	186.88006183624
0.137	156.848346534321
0.138	189.734581550878
0.139	195.716730773934
0.14	190.95192166391
0.141	163.018309320065
0.142	201.590827764685
0.143	208.780289073838
0.144	202.480868025267
0.145	173.828930036453
0.146	207.869602726648
0.147	212.616531577917
0.148	214.06897241154
0.149	187.610059581874
0.15	188.780065207706
0.151	207.217007160566
0.152	199.85531048745
0.153	200.796413517657
0.154	187.857504474431
0.155	173.127278383575
0.156	189.058999496099
0.157	199.817837238407
0.158	196.08906570874
0.159	196.748119294386
0.16	196.021144897944
0.161	190.038966807624
0.162	184.474592145938
0.163	191.512713654742
0.164	200.232625418576
0.165	204.407455281231
0.166	206.285848584875
0.167	212.544218210411
0.168	207.731930841703
0.169	205.049348504766
0.17	200.126598830828
0.171	201.861878114588
0.172	207.560219308114
0.173	218.489790522723
0.174	215.846825799879
0.175	209.170500331011
0.176	207.897608102669
0.177	211.430787293752
0.178	217.749322330565
0.179	222.57588046887
0.18	221.340884088459
0.181	210.840891845236
0.182	209.88640196441
0.183	222.976317281934
0.184	228.844178789573
0.185	223.624749195476
0.186	214.513983570527
0.187	223.027462554325
0.188	230.618637115331
0.189	233.190217915628
0.19	226.600153041055
0.191	214.238942073376
0.192	222.963861545526
0.193	227.892896908083
0.194	229.076593996243
0.195	223.647584489892
0.196	214.560066071914
0.197	217.939416957547
0.198	226.102925638396
0.199	223.163661932321
0.2	228.072211982774
0.201	220.330533141048
0.202	215.639238107794
0.203	218.228450716987
0.204	217.723770567042
0.205	222.051516761471
0.206	228.006717999956
0.207	224.624354122505
0.208	220.451925147534
0.209	221.330687068799
0.21	220.280057912288
0.211	218.726800334359
0.212	221.437531200622
0.213	226.967766334693
0.214	222.57151250765
0.215	223.07231202909
0.216	220.380506965668
0.217	217.12024088583
0.218	228.044374182207
0.219	231.835216109496
0.22	231.2015649091
0.221	223.619561576983
0.222	222.418447137519
0.223	230.527608562257
0.224	234.618093799571
0.225	233.812909700775
0.226	225.594400956772
0.227	224.821862535052
0.228	233.502576754115
0.229	237.846926909741
0.23	233.471243208437
0.231	224.954625655202
0.232	229.817570861354
0.233	233.616184608697
0.234	235.888189212999
0.235	234.896321823148
0.236	226.977212201193
0.237	227.091254242833
0.238	229.520490387641
0.239	232.183992946246
0.24	236.60935785847
0.241	228.314036114787
0.242	224.119594920223
0.243	228.770642269832
0.244	224.784921212274
0.245	231.118304115626
0.246	231.857114808863
0.247	229.94259032828
0.248	226.442102261186
0.249	224.75357244038
0.25	225.144307480002
0.251	231.873400030239
0.252	234.735139535507
0.253	232.557449561797
0.254	229.07455363321
0.255	226.704091713451
0.256	224.835088442986
0.257	227.652959321295
0.258	234.685831795142
0.259	227.758184406014
0.26	226.447450286252
0.261	223.192264321684
0.262	225.857045399457
0.263	237.722563149219
0.264	231.574621134433
0.265	230.552452678893
0.266	226.717806787152
0.267	227.477667449206
0.268	238.944743935232
0.269	235.946730758945
0.27	232.080086263638
0.271	225.266517654112
0.272	228.493095980855
0.273	238.53707831126
0.274	235.622418434769
0.275	234.588299018228
0.276	230.451166882108
0.277	231.621485907957
0.278	234.698085769188
0.279	235.537719092253
0.28	235.415089546958
0.281	228.996860040034
0.282	229.471940396327
0.283	230.20502207869
0.284	232.009810650916
0.285	234.136729595317
0.286	229.915805734527
0.287	228.464885573781
0.288	228.166567513027
0.289	225.320930790282
0.29	237.595862877199
0.291	232.925810638224
0.292	228.362466187519
0.293	229.465557918177
0.294	226.169976591346
0.295	226.179657364261
0.296	232.984401032533
0.297	231.390626939856
0.298	228.410719930416
0.299	226.354560518756
0.3	229.90157246186
0.301	233.013070568253
0.302	236.674532326852
0.303	234.480406267355
0.304	226.810802882857
0.305	226.924842623732
0.306	231.695110194672
0.307	236.646406289442
0.308	239.928855803474
0.309	230.922693649957
0.31	227.42888512489
0.311	227.635821171876
0.312	232.055649762984
0.313	241.398493465143
0.314	230.429350420325
0.315	230.489806890064
0.316	231.627495356927
0.317	229.460516960717
0.318	239.798467293806
0.319	233.065413720477
0.32	232.234857154053
0.321	227.999890090385
0.322	226.505546922691
0.323	235.87834421349
0.324	237.636511835738
0.325	238.425135660608
0.326	230.896762064689
0.327	230.411443461563
0.328	229.616063625953
0.329	232.427727275303
0.33	234.938397396883
0.331	225.98579684118
0.332	224.838232487432
0.333	231.362098346384
0.334	226.8135379111
0.335	234.27146159635
0.336	235.137122609248
0.337	229.889694713189
0.338	226.35137318965
0.339	228.421422344506
0.34	235.3497446367
0.341	238.841365081928
0.342	230.835192824659
0.343	230.270684092497
0.344	228.182780821159
0.345	227.94209161796
0.346	235.037685162461
0.347	235.65902894254
0.348	235.186837001883
0.349	231.628618699218
0.35	233.38466879153
0.351	232.679642175508
0.352	236.202011468225
0.353	238.381467445172
0.354	229.157265656017
0.355	226.937601939194
0.356	229.149952617486
0.357	233.664099263724
0.358	238.213582005284
0.359	232.98265556325
0.36	233.975657220725
0.361	230.609661232522
0.362	230.543543986079
0.363	240.748145480447
0.364	234.099357897166
0.365	235.508909511626
0.366	230.746301823036
0.367	226.264718960999
0.368	236.463245328558
0.369	233.925281953765
0.37	230.685229828732
0.371	225.998307431491
0.372	230.882420061835
0.373	231.838289699077
0.374	233.3705799869
0.375	232.959235591081
0.376	230.054917826812
0.377	229.101546266594
0.378	226.569234730708
0.379	229.833170720812
0.38	237.888344842688
0.381	233.216430688232
0.382	231.967295512074
0.383	232.69235078063
0.384	226.394854547833
0.385	234.65580027261
0.386	234.90467340333
0.387	232.539741923776
0.388	230.965341322817
0.389	230.001355608118
0.39	232.263584711104
0.391	238.11548786571
0.392	235.594450098086
0.393	234.059427006482
0.394	228.513588496564
0.395	228.804696515949
0.396	235.269665102115
0.397	235.823833426387
0.398	234.929847964077
0.399	230.828093920188
0.4	233.024827332886
0.401	232.063876349527
0.402	235.559605101012
0.403	238.266636562344
0.404	228.873707432089
0.405	226.065496116602
0.406	228.25956147725
0.407	232.275506743026
0.408	239.383934784866
0.409	234.236524283265
0.41	230.754635910391
0.411	225.900275271811
0.412	228.723697841614
0.413	239.104120772336
0.414	231.183843480766
0.415	233.5397701721
0.416	232.530543627724
0.417	229.900564417805
0.418	233.98880755294
0.419	238.437187993985
0.42	241.117725066558
0.421	228.015509837427
0.422	225.465820196038
0.423	230.866550027587
0.424	233.110137252543
0.425	235.904721402749
0.426	232.311663221619
0.427	229.09100897349
0.428	226.834007369148
0.429	229.920537888299
0.43	238.1885180347
0.431	234.725657623839
0.432	232.663352524315
0.433	232.329118248753
0.434	226.634536628442
0.435	234.719156746019
0.436	236.00176361305
0.437	232.603682807883
0.438	230.953769579741
0.439	229.99372689567
0.44	232.085687846906
0.441	238.189808381606
0.442	235.855992159876
0.443	234.496143850688
0.444	228.16314335912
0.445	228.104182985893
0.446	234.260612559761
0.447	236.001800251099
0.448	235.497180153441
0.449	231.154567847782
0.45	233.055975199982
0.451	230.555230787407
0.452	234.418509116243
0.453	235.931412050271
0.454	226.655948556329
0.455	225.600953286552
0.456	227.30121087088
0.457	230.7176678591
0.458	239.871501777258
0.459	235.559793076945
0.46	235.858527469033
0.461	229.470456648471
0.462	227.71839686622
0.463	237.775527626025
0.464	232.866631981975
0.465	234.998969993687
0.466	232.03177722501
0.467	230.803372402106
0.468	233.044741702726
0.469	234.983554875147
0.47	233.422089909856
0.471	225.099602888121
0.472	224.715907709934
0.473	230.108832720838
0.474	232.593470385929
0.475	236.737822819565
0.476	233.228109369541
0.477	231.892384346718
0.478	230.751576226931
0.479	228.926802730036
0.48	237.959800092795
0.481	235.788094364732
0.482	233.006941635317
0.483	231.199865881991
0.484	226.094241309025
0.485	233.410557778602
0.486	236.643302054855
0.487	230.028815854472
0.488	225.218837576038
0.489	225.166452514931
0.49	230.875103684101
0.491	237.595171912933
0.492	237.003529201786
0.493	235.592544051849
0.494	228.070719782035
0.495	227.364904803272
0.496	232.98968485983
0.497	235.909579198747
0.498	236.393551134066
0.499	232.077389841783
0.5	232.552678432552
0.501	229.306708406052
0.502	233.510535163282
0.503	237.411665122492
0.504	231.921338060842
0.505	233.789925262432
0.506	231.289875029515
0.507	229.566780850775
0.508	239.748498416843
0.509	232.051344044783
0.51	233.147248773301
0.511	229.369316371277
0.512	227.149621602778
0.513	236.632140472835
0.514	237.783382239489
0.515	240.29646510817
0.516	232.811045479645
0.517	231.148804320965
0.518	231.504304359788
0.519	234.58750852345
0.52	235.318762569957
0.521	230.412487823029
0.522	229.46496872337
0.523	229.68993286899
0.524	231.747819976056
0.525	237.613091437423
0.526	230.67410525016
0.527	228.336726497703
0.528	230.570681469644
0.529	227.944071869876
0.53	237.426925502852
0.531	237.369957174284
0.532	233.86350122277
0.533	233.341549547224
0.534	229.421204071345
0.535	232.127373064329
0.536	237.262296842102
0.537	231.176567997937
0.538	229.585072105971
0.539	229.151670328643
0.54	230.378268842304
0.541	236.725156005996
0.542	237.992243661966
0.543	236.728519227818
0.544	231.11128982911
0.545	231.29070746702
0.546	231.085217423814
0.547	235.612445344002
0.548	237.787113935724
0.549	233.234516984772
0.55	232.003653383996
0.551	228.130418221399
0.552	231.968863175898
0.553	238.886818500119
0.554	229.027677220761
0.555	229.871313770262
0.556	230.881894279216
0.557	228.055966960672
0.558	238.767577066518
0.559	232.827832459474
0.56	234.921373836858
0.561	231.802873754123
0.562	231.102891012623
0.563	235.033251713449
0.564	238.422989161411
0.565	240.760123073479
0.566	233.302305451938
0.567	231.757868288612
0.568	230.519634040374
0.569	233.875912940464
0.57	236.583912618374
0.571	227.833635841552
0.572	227.013576086954
0.573	233.821040225789
0.574	230.562754837718
0.575	237.677522722988
0.576	235.553052081839
0.577	233.075136839364
0.578	230.376718572706
0.579	227.066136359071
0.58	235.991948703353
0.581	235.488018392513
0.582	231.642644224821
0.583	231.854914075475
0.584	229.219056190444
0.585	230.796405712695
0.586	237.817808235625
0.587	236.225445688975
0.588	230.513863350353
0.589	224.791695373963
0.59	229.185550323884
0.591	235.090658729146
0.592	235.715873730115
0.593	235.753419026123
0.594	231.182687279753
0.595	231.403013713437
0.596	229.987503397258
0.597	234.383663598386
0.598	236.121152403178
0.599	231.726340209724
0.6	231.302714662763
0.601	227.018268965357
0.602	230.384373596369
0.603	239.977960556002
0.604	234.057003564869
0.605	236.047460760247
0.606	231.265251859622
0.607	226.929977261036
0.608	237.321295070771
0.609	233.763780614505
0.61	231.378498307583
0.611	227.069617013119
0.612	231.331055224751
0.613	233.95043648296
0.614	235.031646514382
0.615	232.550857373485
0.616	229.566469186442
0.617	230.973207089663
0.618	229.163607199898
0.619	232.728309591951
0.62	237.759924896071
0.621	232.12093444263
0.622	231.140288829174
0.623	233.652976212685
0.624	228.943830067535
0.625	236.882940833003
0.626	236.690932312034
0.627	230.603825596789
0.628	225.162799369805
0.629	226.736427858394
0.63	234.628696882568
0.631	237.04703372091
0.632	232.56681193331
0.633	231.899704221901
0.634	229.001950347076
0.635	229.940221276143
0.636	237.205668103961
0.637	233.735106036626
0.638	229.536793021522
0.639	224.30162210427
0.64	228.43742394447
0.641	233.775459979321
0.642	235.589803362115
0.643	236.689056304174
0.644	231.977256335545
0.645	231.458860035276
0.646	229.255631870915
0.647	233.178472479126
0.648	237.688424819508
0.649	232.890644961215
0.65	230.875114902902
0.651	226.663994974909
0.652	229.582601574141
0.653	240.25997362661
0.654	230.36777347362
0.655	232.659079082471
0.656	230.714470277333
0.657	225.974255423785
0.658	236.0239951577
0.659	234.619440561802
0.66	236.759587810889
0.661	230.902420049185
0.662	231.881822244324
0.663	232.749896477996
0.664	234.353662334586
0.665	233.985632857699
0.666	230.98912440195
0.667	230.196237982426
0.668	228.101018574673
0.669	231.565446277323
0.67	238.842227801636
0.671	233.206851569247
0.672	231.613593959769
0.673	233.804939718498
0.674	229.968106339839
0.675	240.281061588347
0.676	234.054272642409
0.677	228.070028920471
0.678	227.224686438325
0.679	230.37766048467
0.68	233.64774435218
0.681	237.924610848016
0.682	233.942200983431
0.683	232.89089928979
0.684	228.979961978834
0.685	229.384884671633
0.686	236.184354202892
0.687	234.813877624227
0.688000000000001	233.975999328301
0.689000000000001	230.689560393672
0.690000000000001	232.754283821595
0.691000000000001	232.317762844497
0.692000000000001	235.251415993061
0.693000000000001	237.771357373626
0.694000000000001	228.880140571858
0.695000000000001	226.288255576617
0.696000000000001	228.342200102388
0.697000000000001	231.892239626705
0.698000000000001	238.704678650916
0.699000000000001	234.06382375112
0.700000000000001	234.582384221982
0.701000000000001	229.620540583206
0.702000000000001	228.52714654046
0.703000000000001	239.422533299096
0.704000000000001	231.553952370619
0.705000000000001	234.281720985632
0.706000000000001	233.017447704173
0.707000000000001	230.148329880494
0.708000000000001	234.533071688779
0.709000000000001	234.934579203527
0.710000000000001	237.645732041719
0.711000000000001	228.308993261824
0.712000000000001	225.905258300225
0.713000000000001	231.40987516279
0.714000000000001	233.669910812729
0.715000000000001	235.694127791823
0.716000000000001	228.106257191866
0.717000000000001	224.023741566794
0.718000000000001	227.241340277608
0.719000000000001	230.508570312463
0.720000000000001	238.958663107364
0.721000000000001	234.195369955922
0.722000000000001	232.112358276505
0.723000000000001	233.064991492609
0.724000000000001	227.280831531482
0.725000000000001	235.54826502779
0.726000000000001	235.228466549542
0.727000000000001	232.08620300237
0.728000000000001	230.774358724919
0.729000000000001	230.321725443549
0.730000000000001	232.692735888659
0.731000000000001	238.257842767137
0.732000000000001	235.079972234917
0.733000000000001	233.679121449485
0.734000000000001	228.072507102424
0.735000000000001	228.10525730542
0.736000000000001	234.247651841969
0.737000000000001	235.429397535177
0.738000000000001	235.005428751577
0.739000000000001	230.954358286008
0.740000000000001	232.697934625314
0.741000000000001	230.356181425777
0.742000000000001	234.174210739126
0.743000000000001	235.968584289496
0.744000000000001	226.892104926948
0.745000000000001	225.866481915377
0.746000000000001	227.292643103263
0.747000000000001	230.478130384522
0.748000000000001	240.148272858153
0.749000000000001	231.573408760392
0.750000000000001	232.11926795095
0.751000000000001	229.453833837491
0.752000000000001	228.021998960415
0.753000000000001	238.030482899978
0.754000000000001	233.101096520027
0.755000000000001	235.333119179931
0.756000000000001	232.378831266747
0.757000000000001	230.759537853691
0.758000000000001	233.553368752742
0.759000000000001	235.47744096028
0.760000000000001	233.545638510371
0.761000000000001	225.060191222257
0.762000000000001	224.977008457905
0.763000000000001	230.700905568911
0.764000000000001	233.146336623505
0.765000000000001	236.597812805864
0.766000000000001	232.743851698629
0.767000000000001	228.857570201031
0.768000000000001	226.475786031661
0.769000000000001	229.292878461328
0.770000000000001	238.008348345518
0.771000000000001	235.121279378664
0.772000000000001	232.45624600097
0.773000000000001	231.482832112812
0.774000000000001	226.138866752923
0.775000000000001	233.725937385306
0.776000000000001	236.331178937462
0.777000000000001	229.53415440085
0.778000000000001	227.932570119545
0.779000000000001	229.052617097197
0.780000000000001	230.70059242977
0.781000000000001	237.485394344664
0.782000000000001	236.617784906711
0.783000000000001	235.579665582006
0.784000000000001	228.024110454946
0.785000000000001	226.96750327366
0.786000000000001	232.57544810203
0.787000000000001	235.651742787669
0.788000000000001	236.579583932302
0.789000000000001	232.304388943966
0.790000000000001	232.37817642201
0.791000000000001	228.817559166082
0.792000000000001	233.01875705248
0.793000000000001	237.815385264732
0.794000000000001	228.314206031871
0.795000000000001	229.319600322429
0.796000000000001	230.827062528927
0.797000000000001	229.134704098445
0.798000000000001	239.785280877947
0.799000000000001	232.396905741372
0.800000000000001	233.738154660895
0.801000000000001	229.358983846735
0.802000000000001	226.918436548299
0.803000000000001	236.781614217171
0.804000000000001	238.117195989705
0.805000000000001	240.383088437843
0.806000000000001	232.744737977186
0.807000000000001	231.287166920613
0.808000000000001	231.919895118342
0.809000000000001	234.866047135067
0.810000000000001	234.96182096167
0.811000000000001	230.026107114342
0.812000000000001	229.626001781532
0.813000000000001	229.526148657094
0.814000000000001	231.603614692598
0.815000000000001	237.181217037259
0.816000000000001	234.09061243064
0.817000000000001	232.229243979204
0.818000000000001	230.444081873859
0.819000000000001	227.615117567557
0.820000000000001	237.019873450302
0.821000000000001	237.29173467002
0.822000000000001	233.994911261416
0.823000000000001	233.224730408341
0.824000000000001	228.987170765118
0.825000000000001	231.432405032815
0.826000000000001	237.015574804107
0.827000000000001	231.442174132367
0.828000000000001	230.198809926843
0.829000000000001	228.76049907141
0.830000000000001	229.510734870996
0.831000000000001	235.841332361407
0.832000000000001	234.928228245405
0.833000000000001	231.789485343809
0.834000000000001	226.904437417719
0.835000000000001	231.196505529071
0.836000000000001	230.417596426498
0.837000000000001	235.238303707639
