"Time [s]"	"Pro [W]"
0	0
0.001	0.000754846196586584
0.002	0.0255693048563115
0.003	0.196279834173287
0.004	0.675562290572938
0.005	1.31535039830793
0.006	1.47292736391707
0.007	0.799627378586738
0.008	0.0936743449945718
0.009	0.0479858729737916
0.01	0.135466196761764
0.011	0.0164020255372182
0.012	0.0656697419996636
0.013	0.340713683161568
0.014	0.613416536104612
0.015	0.766374076696166
0.016	0.834538033655172
0.017	0.872707538415899
0.018	0.958729621108484
0.019	1.16469324737947
0.02	1.5069869024628
0.021	2.09081064793654
0.022	3.12387246750632
0.023	4.98748894051489
0.024	7.40753165914245
0.025	7.5078921676038
0.026	5.2610225174101
0.027	3.70738356240848
0.028	3.51588669406095
0.029	4.43856879883356
0.03	4.51176070695456
0.031	2.41317610973993
0.032	0.438604439957702
0.033	0.0305163655461817
0.034	0.441079037806023
0.035	0.61048297773348
0.036	0.709721418119165
0.037	1.27503954283705
0.038	1.99785319879781
0.039	1.86251443679052
0.04	1.58772945282488
0.041	1.90334662547785
0.042	1.65536204674083
0.043	0.632335935002457
0.044	0.13052005382032
0.045	0.0571351427923808
0.046	0.223136384387691
0.047	0.932822466746574
0.048	1.16299851443737
0.049	0.364869284490428
0.05	0.0250062335561017
0.051	0.000877103565507701
0.052	0.0474100743565691
0.053	0.566763079711539
0.054	2.17709343737079
0.055	3.48947924886499
0.056	4.16094565309412
0.057	5.80147863186759
0.058	6.93533497902772
0.059	7.89393328437942
0.06	8.28872854267714
0.061	8.09721110987552
0.062	8.27047502710785
0.063	7.16733185297949
0.064	7.17997531544806
0.065	6.27876865462138
0.066	4.19322369786806
0.067	4.35041694000287
0.068	3.76480629218152
0.069	1.795351577209
0.07	1.19544823807927
0.071	2.14189147517477
0.0720000000000001	2.91254829165969
0.0730000000000001	2.09602343852743
0.0740000000000001	1.96742066933861
0.0750000000000001	3.40609986423017
0.0760000000000001	4.59406537181147
0.0770000000000001	5.1198939966906
0.0780000000000001	6.85172144501609
0.0790000000000001	8.06074192076709
0.0800000000000001	9.61554282774212
0.0810000000000001	10.9768636006051
0.0820000000000001	12.110313681435
0.0830000000000001	12.8919179134985
0.0840000000000001	13.6183161802071
0.0850000000000001	13.9287767300805
0.0860000000000001	14.1767411617982
0.0870000000000001	13.7608116127349
0.0880000000000001	13.5760620782659
0.0890000000000001	13.1634276187978
0.0900000000000001	12.4479121964731
0.0910000000000001	11.7318407697393
0.0920000000000001	10.238972541998
0.0930000000000001	10.5091114451324
0.0940000000000001	9.93746042063879
0.0950000000000001	10.9101229586305
0.0960000000000001	11.4939498962936
0.0970000000000001	12.3304313438317
0.0980000000000001	13.5306488955357
0.0990000000000001	14.6638351450658
0.1	16.5624175784401
0.101	17.6381769707165
0.102	20.0201304183991
0.103	20.6897822465459
0.104	22.7114860565391
0.105	25.6408592698223
0.106	25.8304803587754
0.107	29.1677792601946
0.108	32.9203470051281
0.109	32.2080373221309
0.11	34.2900164516481
0.111	40.6954152910859
0.112	43.9908234131818
0.113	41.8961765478968
0.114	40.4912385744843
0.115	45.2993765995923
0.116	53.764450190238
0.117	61.403680634572
0.118	67.8186868753877
0.119	73.9278689345306
0.12	81.3422655314863
0.121	90.8022358656589
0.122	98.3830569652134
0.123	98.2152856437563
0.124	93.5709825231046
0.125	91.7121476832624
0.126	95.1046527757679
0.127	103.264617661659
0.128	108.704741897813
0.129	106.054378141983
0.13	103.126164486578
0.131	106.659856820864
0.132	113.947263035715
0.133	114.146039627769
0.134	109.4795328229
0.135	110.660010592629
0.136	115.810027140876
0.137	115.328003531468
0.138	110.908962044974
0.139	111.407922780105
0.14	114.513211661509
0.141	113.032114395692
0.142	108.980975684888
0.143	108.887783844368
0.144	110.902061125532
0.145	109.290941698961
0.146	105.031125356146
0.147	103.579578835727
0.148	105.185582256104
0.149	105.551113745024
0.15	101.956085820783
0.151	97.9171923943268
0.152	96.4560786983203
0.153	97.2406690644616
0.154	98.1123920459738
0.155	96.5275323635342
0.156	92.9546998260372
0.157	89.8651381689244
0.158	88.4629271140539
0.159	88.6559880354476
0.16	89.6234139520119
0.161	90.0165903831875
0.162	89.1413222348035
0.163	87.5390798306084
0.164	86.2245810824419
0.165	85.932011054234
0.166	86.9943969623297
0.167	89.1976286873764
