"Time [s]"	"Current(EndConnection) [kA]"	"RingCurrent(EndConnection) [kA]"
0	0	0
0.001	-0.126000687273364	2.26581905118228
0.002	-0.49614270033836	5.15274164264224
0.003	-1.0628635818413	7.62059679873019
0.004	-1.74758577205936	9.29298923505501
0.005	-2.45096895956718	10.0269512570242
0.006	-3.08639790710149	9.7664316890272
0.007	-3.63212717304991	8.55867476634942
0.008	-3.99738937009341	6.56885626725991
0.009	-4.1026753715996	3.8360005619619
0.01	-3.90373191496805	0.718336650504357
0.011	-3.4918847079779	-2.27808035501494
0.012	-2.90298850240073	-4.93706423257964
0.013	-2.13494317231657	-7.08574824524641
0.014	-1.21191107304623	-8.58443389787081
0.015	-0.277644902045959	-9.13741564316997
0.016	0.603381078261824	-8.70543129327985
0.017	1.31932046354719	-7.39344860588258
0.018	1.79769819139754	-5.4648581949627
0.019	2.00439771645468	-3.16702319940687
0.02	1.99782248092496	-0.533278561984434
0.021	1.78067822169607	2.17611023113557
0.022	1.29720799641567	4.92471913414319
0.023	0.615419369960333	7.28634378367786
0.024	-0.144863809832337	8.83015333913252
0.025	-0.965304922282892	9.49833896020806
0.026	-1.77307083478636	9.23482019381788
0.027	-2.3931924945147	8.08897014516987
0.028	-2.81448244267478	6.1223728667105
0.029	-2.96681451593531	3.49900790086914
0.03	-2.85433000757333	0.499514539525365
0.031	-2.54024297689791	-2.40298777403858
0.032	-2.04074767266738	-5.00098191890612
0.033	-1.33044127632358	-7.22265184126134
0.034	-0.482030128673574	-8.75293124900935
0.035	0.408198535531834	-9.34622429487641
0.036	1.23611615054834	-8.98046891364493
0.037	1.92105883497572	-7.67033468258028
0.038	2.3355871643972	-5.81460329734312
0.039	2.53169040629451	-3.37331456704521
0.04	2.48561822169757	-0.635512598570066
0.041	2.22206403497623	2.18659219864137
0.042	1.70526197529293	4.88709801919058
0.043	0.986913153711692	7.2441545991594
0.044	0.194269205353909	8.76986621071149
0.045	-0.639968355820865	9.39011893573473
0.046	-1.45977926398574	9.09929056625179
0.047	-2.12318523798211	7.96966698379617
0.048	-2.55772134475225	6.00890894007622
0.049	-2.71825492141124	3.43944633839205
0.05	-2.62613930742273	0.470889185573535
0.051	-2.33248135921516	-2.39890094837343
0.052	-1.84810103777404	-4.99832904441714
0.053	-1.15207373727524	-7.24254997730211
0.054	-0.313711033546486	-8.78611307689532
0.055	0.567309210564943	-9.39025013175455
0.056	1.38087767939502	-9.03637382320253
0.057	2.06082245696605	-7.72952753588601
0.058	2.46147415985487	-5.88647898070568
