"Time [s]"	"InducedVoltage(EndConnection) [mV]"
0	0
0.001	11.0072968882872
0.002	51.1741065847573
0.003	107.199451450423
0.004	170.488184811337
0.005	231.305607519467
0.006	285.544895090216
0.007	326.769813803012
0.008	346.711840600734
0.009	343.691347028891
0.01	315.279500675394
0.011	269.130448631933
0.012	207.968187006196
0.013	134.924631664635
0.014	52.2509925273027
0.015	-26.6537163964658
0.016	-95.3264594359695
0.017	-144.164178258721
0.018	-171.230856440753
0.019	-176.760210961775
0.02	-169.528386481994
0.021	-141.565591306308
0.022	-90.6423760706943
0.023	-23.634170590877
0.024	48.0347029608345
0.025	117.733913782558
0.026	182.635752298969
0.027	227.90598350234
0.028	254.712898923319
0.029	255.931638234771
0.03	234.861461253639
0.031	196.328228712028
0.032	142.331645508461
0.033	72.331323912201
0.034	-4.68046091940937
0.035	-79.8679405662026
0.036	-142.420403401167
0.037	-190.614879857691
0.038	-212.060663149909
0.039	-220.810031426313
0.04	-207.083231220804
0.041	-176.159575504126
0.042	-121.80236713948
0.043	-52.8774150901391
0.044	21.6383142035408
0.045	93.399197117022
0.046	158.618013908944
0.047	206.428789113713
0.048	234.520122340213
0.049	236.541718480965
0.05	217.265824954549
0.051	180.380688856873
0.052	127.529880980343
0.053	58.5502487708209
0.054	-17.8315253793276
0.055	-91.7014970233726
0.056	-153.502215740025
0.057	-201.489696696193
0.058	-221.871596074489
0.059	-230.488981738304
0.06	-215.621455019958
0.061	-183.832297947814
0.062	-129.134097939298
0.063	-59.3240272124692
0.064	15.764787739844
0.065	87.8044400117114
0.066	152.992288390689
0.067	201.384135431195
0.068	229.898392780684
0.069	232.296085734746
0.07	213.462662773122
0.071	176.948131003051
0.0720000000000001	124.323206333229
0.0730000000000001	55.4535581011677
0.0740000000000001	-20.8420827261732
0.0750000000000001	-94.3894668705998
0.0760000000000001	-156.24086395695
0.0770000000000001	-204.125280875956
0.0780000000000001	-224.445242560298
0.0790000000000001	-232.613923950693
0.0800000000000001	-218.073963391233
0.0810000000000001	-186.108211470372
0.0820000000000001	-130.202237012441
0.0830000000000001	-60.8320830812114
0.0840000000000001	14.2982663563569
0.0850000000000001	86.3529186104295
0.0860000000000001	151.448251191676
0.0870000000000001	199.903876150235
0.0880000000000001	228.675339150766
0.0890000000000001	231.396369124331
0.0900000000000001	212.746459585363
0.0910000000000001	176.255319361762
0.0920000000000001	123.759765443641
0.0930000000000001	54.6871990333864
0.0940000000000001	-21.5927678770809
0.0950000000000001	-95.0928936562954
0.0960000000000001	-157.049250025798
0.0970000000000001	-204.908430535843
0.0980000000000001	-225.421065507887
0.0990000000000001	-233.858006327477
0.1	-218.08595388407
0.101	-187.388132196571
0.102	-129.923506538066
0.103	-61.2626484269348
0.104	13.7984736149114
0.105	85.7789935661026
0.106	150.812942624319
0.107	199.181688855472
0.108	228.192211742724
0.109	231.240345469657
0.11	212.730631982131
0.111	176.235065842799
0.112	123.749160290236
