"Time [s]"	"RingSolidLoss(EndConnection) [kW]"
0	0
0.001	0.238225467217584
0.002	1.24445054806223
0.003	2.82788776508429
0.004	4.5906934095931
0.005	6.30855765994132
0.006	7.82026107382901
0.007	8.92222465060209
0.008	9.46980837436778
0.009	9.46237124664531
0.01	9.07943150363754
0.011	8.43050173291142
0.012	7.51540655933751
0.013	6.48656730828094
0.014	5.46184950990237
0.015	4.47903225045467
0.016	3.6207534357901
0.017	2.94438555687391
0.018	2.50906242288354
0.019	2.28683093891161
0.02	2.31261588901321
0.021	2.56114807088792
0.022	2.9158991107318
0.023	3.36313491556019
0.024	3.79386848206816
0.025	4.1990903026795
0.026	4.54510360077879
0.027	4.88845591796734
0.028	5.05380524545977
0.029	5.02562519463303
0.03	4.92755521550307
0.031	4.81246948368811
0.032	4.62803480938294
0.033	4.45479016425202
0.034	4.32541466421586
0.035	4.1940437725085
0.036	4.05539664642116
0.037	3.84789327075727
0.038	3.70716412351584
0.039	3.60927808148145
0.04	3.61194498931533
0.041	3.76697554037359
0.042	3.86348531709034
0.043	3.97859686304511
0.044	4.02988651846157
0.045	4.06949976468603
0.046	4.11809006913031
0.047	4.24485237161865
0.048	4.29362705467315
0.049	4.24235345883719
0.05	4.17763522612467
0.051	4.14611772630379
0.052	4.0950461985304
0.053	4.101389621513
0.054	4.15662278390891
0.055	4.20313683518081
0.056	4.20603299020868
0.057	4.10697787323731
0.058	4.02199415800332
0.059	3.958685932175
0.06	3.94432908531012
0.061	4.06582762241562
0.062	4.09021924238366
0.063	4.12727222425171
0.064	4.09594481921591
0.065	4.0533634097656
0.066	4.03100442015849
0.067	4.10511420253523
0.068	4.13119368564269
0.069	4.07939136586151
0.07	4.0197984070067
0.071	4.00049318271049
0.0720000000000001	3.97783402178615
0.0730000000000001	4.02424548371402
0.0740000000000001	4.11669728284983
0.0750000000000001	4.1987803483102
0.0760000000000001	4.23064010739573
0.0770000000000001	4.15824940432958
0.0780000000000001	4.08960075804051
0.0790000000000001	4.0377537214739
0.0800000000000001	4.01754976818612
0.0810000000000001	4.1236136053138
0.0820000000000001	4.12752041808163
0.0830000000000001	4.14967814432293
0.0840000000000001	4.10531534367942
0.0850000000000001	4.04819607164593
0.0860000000000001	4.00850348582826
0.0870000000000001	4.06809094154121
0.0880000000000001	4.09233642161299
0.0890000000000001	4.04485829589207
0.0900000000000001	3.98626764411199
0.0910000000000001	3.96635258237135
0.0920000000000001	3.95138319333276
0.0930000000000001	4.00612358870094
0.0940000000000001	4.10328345315924
0.0950000000000001	4.1895324469017
0.0960000000000001	4.22536213171645
0.0970000000000001	4.16033176216084
0.0980000000000001	4.10034115264703
0.0990000000000001	4.05436237909987
0.1	4.03159389324102
0.101	4.1252029999942
0.102	4.12415535230977
0.103	4.14545266101181
0.104	4.10318387925849
0.105	4.04647838735589
0.106	4.00161938619052
0.107	4.05501774467993
0.108	4.08115751055896
0.109	4.03843231769469
0.11	3.98042542741968
0.111	3.95807701713357
0.112	3.94650116865484
0.113	4.00207507482446
0.114	4.09707296797356
0.115	4.18064397974094
0.116	4.2148641554629
0.117	4.15226826299369
0.118	4.0987646879744
0.119	4.05616721160901
0.12	4.03297685030077
0.121	4.11569810440831
0.122	4.11332590211327
0.123	4.13714114345567
0.124	4.09972219894083
0.125	4.04629617926547
0.126	3.9992006104328
0.127	4.04822652537271
0.128	4.07648078532263
0.129	4.03822609803939
0.13	3.98087007414114
0.131	3.9552322044841
0.132	3.94718236383895
0.133	4.00177397843984
0.134	4.09356937719206
0.135	4.17321673499993
0.136	4.2046616242403
0.137	4.14304580067016
0.138	4.09489570339685
0.139	4.05540341229671
0.14	4.03154925099719
0.141	4.10516271930653
0.142	4.1022966615117
0.143	4.12913690467959
0.144	4.09667882942725
0.145	4.04683362744397
0.146	3.99839537330943
0.147	4.04355498961049
0.148	4.07348611188764
0.149	4.03940154843089
0.15	3.98274282184553
0.151	3.95475513562311
0.152	3.94872894897935
0.153	4.00251381504352
0.154	4.0913404961873
0.155	4.16710832636031
0.156	4.19566357108616
0.157	4.13446552853219
0.158	4.09092608643402
0.159	4.0539727161316
0.16	4.02940166753255
0.161	4.09566320030748
0.162	4.0930841373889
0.163	4.11670405431708
0.164	4.09501412757658
0.165	4.04796927540633
0.166	3.99830840758098
0.167	4.03973369525012
0.168	4.07087550868635
0.169	4.04049261595423
0.17	3.98453598557284
0.171	3.95561258505567
0.172	3.94983912553917
0.173	4.00341696804266
0.174	4.0896062093627
0.175	4.16188331157304
0.176	4.18775952443772
0.177	4.12680865959805
0.178	4.08734709254667
0.179	4.05250792719694
0.18	4.02743296464136
0.181	4.08536295841528
0.182	4.08413923362191
0.183	4.11721935860866
0.184	4.09347056543656
0.185	4.04946575381444
0.186	3.99920324165879
0.187	4.03717731854432
0.188	4.06914932877766
0.189	4.0421379737248
