"Time [s]"	"Moving1.Torque [kNewtonMeter]"
0	0
0.001	-0.0515846651702069
0.002	-0.203022849852371
0.003	-0.362437543146792
0.004	-0.483517959020481
0.005	-0.523528341032998
0.006	-0.458484396831835
0.007	-0.274625036410601
0.008	-0.0380543200290138
0.009	0.249033203902484
0.01	0.5479069615022
0.011	0.807977205010592
0.012	0.998258989139878
0.013	1.01030942112737
0.014	0.828744884773386
0.015	0.546049936346522
0.016	0.244113382016248
0.017	0.0198228940835019
0.018	-0.0441755542748708
0.019	0.0199388761904112
0.02	0.167187713454892
0.021	0.200216262831994
0.022	0.0486419093405908
0.023	-0.215739485544812
0.024	-0.49727103292196
0.025	-0.678701557614782
0.026	-0.648402631319064
0.027	-0.453704180915678
0.028	-0.192492545887843
0.029	0.105710491288707
0.03	0.417792422315136
0.031	0.698025902436636
0.032	0.892333752323301
0.033	0.87340289895383
0.034	0.685691713276669
0.035	0.448237115558591
0.036	0.2010294984745
0.037	0.0694804338572481
0.038	0.0049730387049281
0.039	0.0579822045862729
0.04	0.181824945660266
0.041	0.21258730068442
0.042	0.0830327243232824
0.043	-0.158883426645995
0.044	-0.44596490275934
0.045	-0.666881871417237
0.046	-0.674863257419963
0.047	-0.483910597928569
0.048	-0.220421286841088
0.049	0.072997779189174
0.05	0.383603586516748
0.051	0.662558086022764
0.052	0.851310354694944
0.053	0.81595876358186
0.054	0.635812135544347
0.055	0.403155093419594
0.056	0.180750675147513
0.057	0.0615521246420181
0.058	0.00309558625744174
0.059	0.067154869610308
0.06	0.192684801097471
0.061	0.225167186395094
0.062	0.110815729095063
0.063	-0.119874470110334
0.064	-0.407661866430663
0.065	-0.638135322250157
0.066	-0.664890171744055
0.067	-0.483688943230076
0.068	-0.223100233744816
0.069	0.0652303081216658
0.07	0.371954379811435
0.071	0.647687819967789
0.0720000000000001	0.828021966829868
0.0730000000000001	0.782533510715395
0.0740000000000001	0.600931121866854
0.0750000000000001	0.368206843068276
0.0760000000000001	0.152990907820661
0.0770000000000001	0.0395105647106711
0.0780000000000001	-0.0112619944702785
0.0790000000000001	0.0694476857919555
0.0800000000000001	0.202531733150903
0.0810000000000001	0.241768495900572
0.0820000000000001	0.139052723469747
0.0830000000000001	-0.0854424274900631
0.0840000000000001	-0.373019469025465
0.0850000000000001	-0.609331667292664
0.0860000000000001	-0.6479260099269
0.0870000000000001	-0.476718443132506
0.0880000000000001	-0.220472680718318
0.0890000000000001	0.0638042989743614
0.0900000000000001	0.365984493893904
0.0910000000000001	0.639004435513376
0.0920000000000001	0.808923416707612
0.0930000000000001	0.756087124930033
0.0940000000000001	0.571388258305447
0.0950000000000001	0.337361695457662
0.0960000000000001	0.124225080837753
0.0970000000000001	0.0154441119970675
0.0980000000000001	-0.0261743570772915
0.0990000000000001	0.0696642923494977
0.1	0.211755016474871
0.101	0.260207639071593
0.102	0.165925316948455
0.103	-0.0537388991416
0.104	-0.341276863067114
0.105	-0.582401692429215
0.106	-0.630195202683506
0.107	-0.468981425414213
0.108	-0.217157789197822
0.109	0.0637540084194204
0.11	0.362024551643612
0.111	0.631498040232411
0.112	0.792179279508654
0.113	0.733537632435156
0.114	0.545223091361307
0.115	0.309273285127496
0.116	0.0970740914122995
0.117	-0.00742032679299243
0.118	-0.0396613329021702
0.119	0.0700162911585645
0.12	0.21981751482377
0.121	0.278173488516334
0.122	0.191053768878981
0.123	-0.024889933097969
0.124	-0.312642433270089
0.125	-0.557831721289138
0.126	-0.61351781920179
0.127	-0.461604514717128
0.128	-0.214126236253704
0.129	0.0639519175003779
0.13	0.359000938440405
0.131	0.625208484352571
0.132	0.777397153696967
0.133	0.713651560263067
0.134	0.521709477234628
0.135	0.283763466027932
0.136	0.0723378039787816
0.137	-0.0282993737071529
0.138	-0.0513842621228492
0.139	0.0699841938118493
0.14	0.227194466779393
0.141	0.294913137601928
0.142	0.214410927987227
0.143	0.00105672311870251
0.144	-0.287059169067315
0.145	-0.535624512008075
0.146	-0.598235400891891
0.147	-0.454936900729098
0.148	-0.211436506524641
0.149	0.0641778775212911
0.15	0.356473050291734
0.151	0.619613148184249
0.152	0.764588322072304
0.153	0.696231342412774
0.154	0.500537665145066
0.155	0.260706906632266
0.156	0.0501331709879525
0.157	-0.0470458599233492
0.158	-0.0614870325208407
0.159	0.0700951761594232
0.16	0.233865057120063
0.161	0.309773987627905
0.162	0.234478266354868
0.163	0.027175861723563
0.164	-0.263829558779687
0.165	-0.515522052400148
0.166	-0.584395983473863
0.167	-0.448982385735097
0.168	-0.209429032708514
0.169	0.064287603503531
0.17	0.354292028835892
0.171	0.614443272519792
0.172	0.753466326541441
0.173	0.680797115466709
0.174	0.481437055033586
0.175	0.239889870471694
0.176	0.0302362849813661
0.177	-0.0637734249629799
0.178	-0.0702329106485983
0.179	0.0702421974761876
0.18	0.239836896314767
0.181	0.325794140139123
0.182	0.252405823495392
0.183	0.0455724157885471
0.184	-0.243208812662982
0.185	-0.497400330255466
0.186	-0.571735632233445
0.187	-0.443581233324161
0.188	-0.207569391788667
0.189	0.0644196229741401
0.19	0.352457910150883
0.191	0.60985527460685
0.192	0.74391384468958
0.193	0.66718094435601
0.194	0.464306545946496
0.195	0.221159597985857
0.196	0.012412577627449
0.197	-0.0787496544209818
0.198	-0.0778692312712536
0.199	0.0703276211162714
0.2	0.245235944144999
0.201	0.33734201902579
0.202	0.269289816345549
0.203	0.0646381818731376
0.204	-0.223794644855791
0.205	-0.480607240415777
0.206	-0.560229562927225
0.207	-0.438706661162124
0.208	-0.205901809825421
0.209	0.064547303917165
0.21	0.350847309568194
0.211	0.605686788378485
0.212	0.735400860057803
0.213	0.654694397963432
0.214	0.448733667644958
0.215	0.204111217433394
0.216	-0.00371451540300834
0.217	-0.0922575939693648
0.218	-0.0846069619279551
0.219	0.0703398707149749
0.22	0.25007352710544
0.221	0.347696800357518
0.222	0.284441536628567
0.223	0.0820109421251435
0.224	-0.207311856584247
0.225	-0.465653433450627
0.226	-0.549681489450678
0.227	-0.434292778310066
0.228	-0.20442452437429
0.229	0.0646975368628105
0.23	0.349406414724031
0.231	0.60187280949234
0.232	0.727788063282832
0.233	0.643227657342329
0.234	0.434405159830095
0.235	0.1885153603763
0.236	-0.0183988185993003
0.237	-0.104486369277328
0.238	-0.0905868396192891
0.239	0.0703164160591814
0.24	0.254427257899142
0.241	0.3570657373718
0.242	0.298274188339369
0.243	0.0979665862011843
0.244	-0.19164505494763
0.245	-0.451654652040289
0.246	-0.539963987466858
0.247	-0.430211452046968
0.248	-0.203110463303273
0.249	0.0646889676808932
0.25	0.348090951467769
0.251	0.598366504863405
0.252	0.72092771407844
0.253	0.632668962283793
0.254	0.421231286543423
0.255	0.174166737584607
0.256	-0.0318311603541926
0.257	-0.11562262387454
0.258	-0.0959184823099862
0.259	0.0701164888178548
0.26	0.258414898625938
0.261	0.365539319812032
0.262	0.310961051792906
0.263	0.112539934460185
0.264	-0.177040335950803
0.265	-0.438674619530323
0.266	-0.530960175721941
0.267	-0.426404855954554
0.268	-0.201913834180041
0.269	0.0647509370225178
0.27	0.346901310135542
0.271	0.595077108385674
0.272	0.714686961798816
0.273	0.623009995471773
0.274	0.40907022308723
0.275	0.160908368771255
0.276	-0.0441824791284885
0.277	-0.125810872631817
0.278	-0.100702707597566
0.279	0.0699897544776547
0.28	0.261846554970416
0.281	0.373231931363825
0.282	0.322656163843655
0.283	0.125982563164596
0.284	-0.16358759175441
0.285	-0.426576978601833
0.286	-0.522562203876484
0.287	-0.422857319162487
0.288	-0.2008454158039
0.289	0.0647952241053844
0.29	0.34359727628953
0.291	0.59210263551937
0.292	0.709008041913467
0.293	0.614143053946093
