"Time [s]"	"InducedVoltage(Phase_A) [V]"	"InducedVoltage(Phase_C) [V]"	"InducedVoltage(Phase_B) [V]"
0	-36.3079294769482	402.420018976608	-350.50061288672
0.001	37.4887245006939	272.181161573068	-291.414780122339
0.002	111.285378478336	141.942304169527	-232.328947357958
0.003	172.475683843049	63.4833989937748	-215.542754763461
0.004	211.266130820661	-12.55051045524	-189.891710371816
0.005	227.418510599451	-99.3024677208788	-150.148390867393
0.006	220.278795697472	-174.4908217066	-92.1757140170378
0.007	198.915264107524	-223.389377825754	-20.7716756985425
0.008	159.207442611592	-259.480305269481	57.5677073477683
0.009	110.597567801745	-242.797069738801	131.554026862277
0.01	51.9302496819785	-225.288485934146	188.06858011952
0.011	-9.57112755868561	-191.804670953985	244.041404010507
0.012	-78.1332092905795	-135.014796419003	271.664754528123
0.013	-149.849046620822	-75.0340278885671	256.952794107539
0.014	-201.781098321063	-12.8206206345425	208.462136605256
0.015	-232.154117782944	53.881439044188	159.207263714357
0.016	-237.96711109719	121.442558721685	98.961190619847
0.017	-235.651832868598	195.056569977607	31.0965318762294
0.018	-171.305570637394	287.49252700932	-29.6365940602832
0.019	-99.8951406051368	332.924006337102	-115.490861514369
0.02	-46.8034451673579	265.395177783235	-221.898299524662
0.021	12.4689421457611	176.954012223823	-302.037232149327
0.022	95.4515296301701	127.633280875873	-269.511868030245
0.023	167.441983068017	74.4348777462107	-226.233693445177
0.024	209.361161798428	5.78968365639965	-193.793421779176
0.025	241.246306368246	-72.4969197628621	-146.988909396084
0.026	242.529952155929	-151.353195193888	-92.0025810593434
0.027	211.658447504525	-238.661840045975	-29.1457546498535
0.028	159.473132665919	-270.530151033719	49.1805052889993
0.029	103.395424417797	-267.828853359925	127.116957201795
0.03	46.2557618702204	-233.964748682553	195.602372597507
0.031	-15.5833655203039	-187.863337614435	257.877506397388
0.032	-90.0756308121851	-130.149322579151	280.708523023256
0.033	-157.602188845629	-72.786442408316	245.929561187237
0.034	-209.081222663942	-10.2591020520737	203.206142971436
0.035	-234.710050730597	58.278843728893	154.790802046733
0.036	-250.38199688739	136.403497698304	97.5270154207373
0.037	-228.992163638164	200.98108838409	33.2703238301201
0.038	-154.498375403716	317.102715080457	-22.1233328160358
0.039	-105.707850861497	296.842094579488	-124.454667411547
0.04	-48.7419316879549	257.535638581255	-213.944187311891
0.041	10.6943306388536	175.261872270699	-286.868770094011
0.042	88.6433250447685	124.897944894869	-280.730345576994
0.043	164.661029584772	75.0483732424316	-227.761535705732
0.044	209.847254915878	9.27283934128831	-195.74974139567
0.045	237.502863448141	-65.2095327165716	-147.54503457524
0.046	246.015624157893	-144.013223036379	-90.7360492980371
0.047	217.491828369055	-236.490012215632	-30.4914301165387
0.048	161.509485804808	-273.020996625083	46.6585049840504
0.049	102.206478993373	-278.654795513823	126.41950075345
0.05	45.3469035212952	-237.024955831653	197.171080192188
0.051	-16.9393813700283	-187.517216806587	263.473503040723
0.052	-92.4565142885536	-128.873570778417	282.075555588285
0.053	-159.625129183823	-72.1067205911279	243.365500566593
0.054	-209.881068429939	-9.67275427917524	201.271896281841
0.055	-236.033751474295	59.8141316543721	154.024250310582
0.056	-252.685901723257	139.466020641364	96.9027756393931
0.057	-225.119743490309	202.727856211466	33.9793122166
0.058	-153.05571818475	320.66232590095	-22.4773599593335
0.059	-106.68854500063	292.013071466891	-127.127128943367
0.06	-49.2027943909873	256.177182413699	-212.262372317663
0.061	10.7201621423225	176.54844283257	-281.22066476639
0.062	86.6049736018022	122.965923033668	-285.928051231895
0.063	163.697439461689	74.7586919814145	-228.333111004071
0.064	210.18555737449	9.85669499690811	-196.40086329818
0.065	236.60467094707	-63.8581135005238	-147.93225414058
0.066	246.656309994012	-142.258470345646	-90.6501190869498
0.067	218.57514049864	-235.518473777334	-30.9243560750945
0.068	162.232573408139	-274.705864128086	45.9673191666496
0.069	102.270636299854	-282.182930072082	126.364572365142
0.07	45.284061767199	-239.408622262002	198.22418180675
0.071	-17.1629119488894	-187.590766350853	265.766112223301
0.0720000000000001	-92.9405602653244	-128.301542818669	283.167707965051
0.0730000000000001	-160.469167177354	-71.9234858087741	242.490434216034
0.0740000000000001	-210.17280962652	-9.56745230843059	200.688992530036
0.0750000000000001	-236.491341271652	60.1692671989229	153.517141801793
0.0760000000000001	-252.981313651487	139.90357570802	96.3830681946056
0.0770000000000001	-224.1449979507	203.924113817766	34.0344358124939
0.0780000000000001	-153.383406542086	318.855543267393	-24.0972369656883
0.0790000000000001	-106.513716177781	294.133448930013	-128.071029888375
0.0800000000000001	-49.3571564445439	255.663573773999	-211.934820570885
0.0810000000000001	11.0622412049664	177.99807858484	-278.953248559088
0.0820000000000001	85.8793880942923	121.650190442032	-288.765517886632
0.0830000000000001	163.399053202117	74.3143150968038	-228.554859360025
0.0840000000000001	210.168163442865	9.7768915559906	-196.750312623463
0.0850000000000001	236.437690847636	-63.512995772333	-148.26843942479
0.0860000000000001	246.845137448353	-141.612448380783	-90.7793217700338
0.0870000000000001	218.821399925908	-235.408651033936	-31.2983447904245
0.0880000000000001	162.583924419644	-275.766444623202	45.7077276274891
0.0890000000000001	102.633635785115	-283.918802747472	126.79831400477
0.0900000000000001	45.4364347576333	-241.170182892488	199.045700025293
0.0910000000000001	-17.2040969316016	-187.753310999569	266.7854108257
0.0920000000000001	-93.0198036413188	-127.950757903829	284.214141103269
0.0930000000000001	-161.028953249547	-71.9791658896216	241.935014685001
0.0940000000000001	-210.383506166762	-9.59496489262923	200.424643485669
0.0950000000000001	-236.666174732945	60.2029309165779	153.100682847071
0.0960000000000001	-253.023543182668	139.884298620525	95.9170045964106
0.0970000000000001	-223.860252124822	204.616669251612	33.9062510948643
0.0980000000000001	-153.65006192352	317.777996897218	-25.1122600361823
0.0990000000000001	-106.401733655692	295.799152234551	-128.965595455466
0.1	-49.4482770300477	255.226356109873	-211.830525378133
0.101	11.2423363516085	179.016824559687	-278.726409875239
0.102	85.7179742577587	121.084346996411	-289.620464563219
0.103	163.250963167353	73.872259942085	-228.862346133802
0.104	210.087279336971	9.56377228070293	-197.046739556753
0.105	236.434510464451	-63.4018151440596	-148.54675123052
0.106	246.982755216339	-141.237082364728	-90.932625241911
0.107	218.839505878519	-235.444806515151	-31.6092759825166
0.108	162.839993688549	-276.639064630432	45.5285165752914
0.109	103.096874265206	-284.937074813838	127.361813583785
0.11	45.6458268583426	-242.484117062242	199.657907677311
0.111	-17.1392053635007	-188.029572063864	267.619859348733
0.112	-93.0829071935459	-127.606449942074	284.915706442148
0.113	-161.509644871071	-72.1280346592079	241.486912957144
0.114	-210.556110008248	-9.63550732478136	200.275501924068
0.115	-236.766842674244	60.1603457689386	152.745313817381
0.116	-253.050797850567	139.805793477946	95.5164533198126
0.117	-223.717828783122	205.172138966827	33.7525502877473
0.118	-153.895636744655	316.776730347748	-25.9945157720363
0.119	-106.286827791338	297.228063924231	-129.568162869034
0.12	-49.4927422638375	254.876758067683	-211.641433752525
0.121	11.3408373412566	179.705300887711	-279.07820243788
0.122	85.7144942213305	120.863374757585	-289.959403469251
0.123	163.162207066977	73.5117706391542	-229.121264112931
0.124	210.011976364539	9.35064495521698	-197.31921414883
0.125	236.487286985923	-63.3580427208253	-148.786733621992
0.126	247.120655550922	-140.960758120203	-91.0704945907213
0.127	218.800092940483	-235.484122569248	-31.8559847692588
0.128	163.037830938653	-277.454440645586	45.3540487334985
0.129	103.586711937242	-285.613230827423	127.91203438999
0.13	45.8708602156932	-243.487750833049	200.149792410912
0.131	-17.0267302149907	-188.318843378716	268.467332002521
0.132	-93.179849894075	-127.257725426791	285.297270050582
0.133	-161.929849836091	-72.2968826602774	241.129648535377
0.134	-210.7078852148	-9.67235371585584	200.184010097673
0.135	-236.840939889672	60.0993588891565	152.440521967332
0.136	-253.097618057033	139.740921002627	95.1887893159516
0.137	-223.579709818113	205.675547526234	33.6200414277831
0.138	-154.104719967952	315.964151789963	-26.7551335868427
0.139	-106.215621810163	298.243934833282	-129.998827226164
0.14	-49.515361283179	254.551404193778	-211.434276375842
0.141	11.4230091846668	180.354812197377	-279.54715867894
0.142	85.7820888440317	120.754676822171	-290.007605629484
0.143	163.079345131876	73.234235078778	-229.493332744029
0.144	209.986262174189	9.17604895679747	-197.550593402298
0.145	236.54907616831	-63.3323380812598	-148.977857497455
0.146	247.265067856723	-140.748658514812	-91.1865253666596
0.147	218.738169636435	-235.490668837355	-32.0494980347696
0.148	163.188038419487	-278.255603951554	45.1722376618293
0.149	104.067697240507	-286.102325393504	128.391902054504
0.15	46.0995102392396	-244.273898628952	200.578607989553
0.151	-16.9071495231776	-188.470642739105	269.172742692993
0.152	-93.2850546643886	-127.034053654333	285.682130440069
0.153	-162.297166650901	-72.458294572872	240.772301366805
0.154	-210.84025684304	-9.70544679986851	200.13740874707
0.155	-236.903493802971	60.0382206622325	152.188128794615
0.156	-253.164171970072	139.698317403522	94.9282344775075
0.157	-223.435252473599	206.15568970843	33.5105244094611
0.158	-154.263517638869	315.336886811557	-27.3988632800748
0.159	-106.186833014675	298.912226246167	-130.359495263928
0.16	-49.5227456925354	254.330954526342	-211.273567352616
0.161	11.4958586955446	180.900335865559	-279.9793570034
0.162	85.9411263768733	120.745933628313	-289.858734064237
0.163	161.483219009534	72.8845518750681	-230.723872107362
0.164	211.448640284769	9.166299546991	-196.881900307394
0.165	236.633175811048	-63.3351061658509	-149.204175236518
0.166	247.422370930036	-140.578230217988	-91.2959762278099
0.167	218.66805536388	-235.46448319761	-32.2032415568385
0.168	163.322973850687	-278.779377417055	45.0361148389151
0.169	104.492985633565	-286.723516124649	128.761141696507
